drug,pvalue,padj
dcebio,0.012703174690272653,0.09257559867416759
cebranopadol,0.012727242758793366,0.09257559867416759
ketoconazole,0.012731543977995405,0.09257559867416759
bruceantin,0.012931941665777604,0.09319595218246476
sorafenib,0.012945671312146108,0.09319595218246476
tedizolid,0.013100805151330453,0.09384586660383745
ku-0063794,0.013262148511857818,0.09453363988501608
resminostat,0.013396691144170057,0.0950245690471278
leucovorin,0.01371665385434281,0.09650150166981313
oxprenolol,0.013749098968631485,0.09650150166981313
pentostatin,0.013884497865736844,0.09650150166981313
vinflunine,0.013889284513586774,0.09650150166981313
inosine,0.013948711165539545,0.09650150166981313
wp1130,0.014005055529136666,0.09650150166981313
prednisolone-hemisuccinate,0.014155970550946933,0.09707909662189673
proflavine-hemisulfate,0.01443467907092649,0.0985234934699558
ponatinib,0.01463951036829861,0.09864403264864254
pd-184352,0.014648338151026839,0.09864403264864254
1-naphthyl-pp1,0.014656853503426501,0.09864403264864254
monensin,0.014763488867768937,0.0989017055169521
cudc-907,0.0148459603276652,0.09899587370567532
bms-986020,0.014961397857199542,0.09930799403379696
wp1066,0.015094767195525754,0.09971219369191728
ajmaline,0.015160112378867866,0.09971219369191728
drospirenone,0.015235951628473039,0.0997575656398212
indibulin,0.015772002619992915,0.1028021972573412
bms-707035,0.016204777123893885,0.10500892174934046
arctigenin,0.01625570039519852,0.10500892174934046
dehydrocholate-acid,0.016392778252304303,0.10520118165608622
pyroxamide,0.016503717984085182,0.10520118165608622
ercalcitriol,0.016515223629835967,0.10520118165608622
golvatinib,0.01657627464933494,0.10520118165608622
ky02111,0.016791627743801992,0.10610255609293223
bay-87-2243,0.017334478441003155,0.10905647958318072
mln0128,0.017592557781207375,0.11020100047362369
ornithine,0.017700073555778455,0.1103965794621182
homoquinolinic-acid,0.017943814313733934,0.1114364777337897
pd-173074,0.018133459361322542,0.11213297305911846
acesulfame-potassium,0.018532065259028164,0.11286979469969673
rutin,0.018585106337734476,0.11286979469969673
ha14-1,0.018603034703094726,0.11286979469969673
cytarabine,0.018605483065825566,0.11286979469969673
5-fluorouracil,0.018642626767952673,0.11286979469969673
simvastatin,0.018841336875675758,0.11359756024626176
pentagastrin,0.01893410394309128,0.1136831884051995
dichloroacetate,0.019160595538274885,0.11456769315654446
y-27632,0.019292967663273215,0.11488446176442939
bibx-1382,0.01941392644043555,0.11513094901356657
brigatinib,0.019837807459298633,0.11706101867178506
spiradoline,0.019978068219516983,0.11706101867178506
dirithromycin,0.01998208127984168,0.11706101867178506
piperazine,0.02043312497960748,0.11904546885490276
pu-h71,0.02050053567179076,0.11904546885490276
regorafenib,0.020646049670890114,0.11904546885490276
at7867,0.020723973527558327,0.11904546885490276
cyproterone-acetate,0.020732175640245678,0.11904546885490276
naftifine,0.021232528825617103,0.12118492198612882
az3146,0.02127226688630043,0.12118492198612882
zln005,0.021562793022119817,0.1223582804039505
temazepam,0.02208544473366698,0.12483452550631297
cytochalasin-b,0.022224518591317615,0.12513182257446145
mechlorethamine,0.022576868283594658,0.12615458269435617
octenidine,0.022646667862322997,0.12615458269435617
kp-1212,0.0226780051616794,0.12615458269435617
floxuridine,0.022754903996701423,0.12615458269435617
diphemanil,0.022981735175658363,0.1266875980831945
mubritinib,0.02302614947883908,0.1266875980831945
erlotinib,0.023247262759823424,0.12741965611160794
halofuginone,0.02341001285685499,0.12782750416554406
teroxirone,0.02382997149206216,0.12929093093989327
phenylmercuric-acetate,0.023866397998589698,0.12929093093989327
ispinesib,0.024013005817951454,0.12929093093989327
broxaldine,0.024035425309489492,0.12929093093989327
chromocarb,0.02431889772902091,0.1303312778292343
tazemetostat,0.024733092394730614,0.13206193614455794
bw-180c,0.024866320222159698,0.13228516677009222
spermine,0.02527411187966427,0.13396205087866006
nefiracetam,0.025666568271921857,0.13551089917037987
cyclocytidine,0.02575362631088767,0.13551089917037987
adapalene,0.025852862480205664,0.13554018843788984
arcyriaflavin-a,0.02614753235590963,0.13659017804693585
tivozanib,0.02661228495685261,0.13851790047685514
cyclovirobuxin-d,0.02716479999019978,0.14088697342587486
ubenimex,0.02739971824707547,0.14159782965542217
aminopurvalanol-a,0.02751117158908201,0.1416595507842855
ixabepilone,0.027607459102397033,0.1416595507842855
pazopanib,0.027786318881043815,0.14207351032109683
avl-292,0.028025645662858326,0.14279263828928168
busulfan,0.028985186218881045,0.14716338406568727
uprosertib,0.029826621361564745,0.15056030786542246
betulinic-acid,0.02986234164296907,0.15056030786542246
pf-04691502,0.030288161581530824,0.1519040847864803
barasertib-hqpa,0.030398064739403523,0.1519040847864803
xl388,0.03044380413827179,0.1519040847864803
triptolide,0.030969263564161333,0.15399492913175755
tryptanthrin,0.031148177029922553,0.15435415124074636
zm-447439,0.0313989061740203,0.15506558782869415
dabrafenib,0.032385215813236216,0.15916133671205412
mgcd-265,0.032616456701527886,0.15916133671205412
jtc-801,0.032664916296140524,0.15916133671205412
nimorazole,0.03266822184069114,0.15916133671205412
idoxuridine,0.032842331809606995,0.15947266486074269
navitoclax,0.03306984111603263,0.1600403347655492
belinostat,0.03337031337207036,0.16095614483128604
cb-10-277,0.03372099041484329,0.16210721970192107
calcitriol,0.03393501135842172,0.16259589879349742
doxorubicin,0.03414262847509724,0.1630507703084677
orantinib,0.03453299949642458,0.16437253378725777
cycloheximide,0.035103911766032184,0.1665421650014707
gsk1904529a,0.035573483517393166,0.16821840081590822
mk-2206,0.03570301234402821,0.16828097349123392
enmd-2076,0.03603686349490754,0.16879885585040083
cr8-(r),0.03612146849577976,0.16879885585040083
