model,global_pearson,median_pearson,mean_pearson,pct_gt_03,n_drugs
Ridge(expression+GNN_emb),0.7230350326712356,0.11223533479880646,0.12062310974502165,10.435383552176917,1447
Ridge(expr+GNN_cell+drug_emb),0.7230350326712355,0.1122353347988064,0.12062310974502165,10.435383552176917,1447
Ridge(expression_19K),0.7222999876348111,0.11134509900265918,0.11975925394481861,10.366275051831375,1447
Ridge(TF_activities_771),0.7000633605732537,0.08494604184384665,0.09404860373274158,6.565307532826538,1447
Ridge(GNN_cell_emb_128),0.7406587187302461,0.07703055948065449,0.0782885002177874,2.4187975120939877,1447
Ridge(GNN_cell+drug_emb),0.7406587186358846,0.07703055545339814,0.07828850028827462,2.4187975120939877,1447
