# Signed IG attribution: mean across seeds x TNBC cells per (TF, drug). Rows = top 20 TFs by global IG importance.
# Sign: target=predicted AUC. POSITIVE attribution -> higher TF activity raises predicted AUC -> resistance driver. NEGATIVE -> sensitivity driver.
tf,erlotinib,brigatinib,osimertinib,saracatinib,pelitinib,trametinib,entinostat,indirubin,BVD-523,BMS-690514,lestaurtinib,dasatinib,rociletinib,AZD8931,semaxanib,7-hydroxystaurosporine,paclitaxel,docetaxel,epirubicin,olaparib
ZEB1,-0.0014422350310875724,-0.001452097319997847,-0.001223986999927244,-0.0012223448162937227,-0.0012232979255107541,-0.001283936146743751,-0.0012862161092925817,-0.0013539149658754468,-0.001474193961864027,-0.001486963175314789,-0.001156858595398565,-0.0012969821109436452,-0.001253845308383461,-0.001515464731104051,-0.0013589832039239507,-0.0011435710500033263,-0.0011852861110431452,-0.001174209544842597,-0.0010384126677915144,-0.0014663605494812753
RELA,0.001221452847251688,0.001218220728636273,0.001220062898634448,0.0012202441763899212,0.0012185655120144172,0.0012305391777166126,0.001234426733996467,0.001226759992884278,0.0012089938515297642,0.001208484861914864,0.001062462280666902,0.0012726898961166928,0.001223674249558826,0.001210255272174739,0.0012266446671371038,0.0010672313693855056,0.0011520657793274343,0.0011577866427311771,0.0008652937419052856,0.0012107207830922562
MZF1,-0.002522737442632206,-0.002534112412831746,-0.002382381217709432,-0.0023924363388990364,-0.002357140459935181,-0.002292223793726104,-0.002286382034071721,-0.0024877903391219056,-0.0025641839359498895,-0.00257259108669435,-0.0020248662622179836,-0.002263971148446823,-0.002427428393275477,-0.002583165691855053,-0.002488366672575163,-0.0020565869635902345,-0.0022189001562461876,-0.0022008992091286927,-0.0017319988279875058,-0.002555542319896631
IRX1,0.0016371883333097987,0.0016373336487352692,0.0015590560118046899,0.0015638391269021668,0.001546512891460831,0.001483617679089851,0.0014791178267235712,0.0016228117153029113,0.0016368895630876068,0.0016413703985260024,0.0012615453148706972,0.0014717777327556785,0.0015871400598067946,0.001652249487960944,0.0016244162567697156,0.001258511931761556,0.0013410644460236654,0.0013235016510103985,0.001010101311597585,0.0016359825616139763
HIVEP1,-0.00025640414605732076,-0.00025844274811485474,-0.000245616894972045,-0.00023993316547906338,-0.0002622196795224833,-0.0002364855257231587,-0.00023502513674126627,-0.00025230324414830346,-0.00027261568538961,-0.00027594507385704975,-0.000279965998439972,-0.00022774441701282436,-0.00023949734046861218,-0.00027910830128045444,-0.00025232931269177544,-0.0002950003618025221,-0.0002261139525217004,-0.0002496561392035801,-0.00019078071879145378,-0.0002683833578582077
AEBP1,-0.0017300439637134939,-0.0017356487769575324,-0.001658237601077417,-0.0016617408873571549,-0.0016457820080783374,-0.0016333026699915838,-0.001628577087103622,-0.0017119889683575213,-0.001747200548076459,-0.0017507626628988267,-0.0014490519824903458,-0.0016127032261768666,-0.001678482978604734,-0.0017599970948746584,-0.0017126059077175644,-0.0014567780926881824,-0.0015156672707234975,-0.0015051273670299754,-0.0012262484233360738,-0.001743404700391693
BCOR,-0.00043111073318868876,-0.0004327548764801274,-0.0003966328949900344,-0.00040019430161919445,-0.0003818602078050996,-0.00036656604303667944,-0.0003608702778971444,-0.0004259842923299099,-0.00044014643450888496,-0.0004401034869564076,-0.0002973225564346649,-0.00035252791712991893,-0.0004112845587466533,-0.000443578464910388,-0.00042668428795877844,-0.0002865377706863607,-0.0002954866213258356,-0.0002761088981060311,-0.00026186255854554474,-0.000437141046859324
HOXB9,-0.0002565872503813201,-0.0002569240423326846,-0.0002518448321400986,-0.0002523561621880314,-0.000248138540579627,-0.00023988771014652835,-0.0002359588531059368,-0.00025463065079141717,-0.00026395412836185034,-0.0002671264325423787,-0.00020415631236877138,-0.00021644011940225028,-0.0002529961784603074,-0.00026916523711406626,-0.00025483865829301067,-0.00020819158089580014,-0.00020101160953345243,-0.00019515241425930677,-0.00020190566101518925,-0.00026225803594570607
HOXB7,-0.0015319682279368863,-0.0015339223415746044,-0.001497196892159991,-0.001498472813788491,-0.0014913934865035117,-0.0014649936347268522,-0.00146287698589731,-0.0015229136479320005,-0.0015376531082438305,-0.0015389521043592442,-0.0013243684079498053,-0.0014574534094814833,-0.0015063094033394009,-0.0015434356270513188,-0.0015233771943409617,-0.0013293718705729891,-0.0013766325670682515,-0.0013635165378218517,-0.0011398898156282182,-0.0015364195957469444
RELB,-0.0007590377014518405,-0.0007602637100111073,-0.0007375729983323254,-0.0007383984338957816,-0.0007336539905130243,-0.000722446127232009,-0.0007177892960802031,-0.0007546861500789722,-0.0007663454889552668,-0.0007677605753997341,-0.000624655886592033,-0.0007015033988864161,-0.0007446320863285413,-0.0007693224227599179,-0.0007550790469394997,-0.0006299470005615149,-0.0006585151410642235,-0.0006479646265991809,-0.0004976599581520228,-0.0007652042210490132
