tf,importance_mean,rank
SPDEF,0.004261567030274212,1
SETBP1,0.004260830574882372,2
KLF8,0.004127678639374229,3
MZF1,0.003841567670557803,4
IRX1,0.0034929955436382443,5
HR,0.0032858364271911946,6
ZXDC,0.0031467128481987554,7
CREB3L1,0.0031383266659152772,8
SMARCB1,0.002853760118766028,9
BCOR,0.002851191099762218,10
REL,0.0028365091887584035,11
RUNX2,0.0027610952323205615,12
MSX1,0.002759268897474006,13
FOXP2,0.0027518439602620976,14
TET1,0.0027316491632821756,15
AEBP1,0.002653922235428278,16
HIVEP1,0.0025794956155247442,17
PHF5A,0.002574707862610618,18
PROX1,0.002557965436547723,19
ZNF335,0.002472368264807301,20
HTATIP2,0.0024603357791420422,21
STAT5B,0.0024508066003666802,22
NFKB,0.0024430186748456133,23
TFAP2B,0.0023565707759795867,24
KLF12,0.0023464149237649207,25
EP300,0.0023023935997116495,26
SNAI2,0.002239241841743933,27
SPI1,0.0021933408022353734,28
RFX5,0.0021632295924973732,29
ARID1B,0.002136379647981812,30
TBXT,0.0020897873299195644,31
TFAP2C,0.002078178153533372,32
ASXL1,0.0020683933102797407,33
AHR,0.002041122912123683,34
TRPS1,0.001918216077622977,35
MEF2A,0.0019062171494927801,36
THRB,0.001883821530403414,37
PPARG,0.0018478960377251497,38
DNMT3A,0.0018340143613689481,39
STAT2,0.0018315109908144222,40
TTF1,0.0018247240318790621,41
GTF2IRD1,0.0017707059629780513,42
PAWR,0.0017516380100460083,43
SOX4,0.001737214256960821,44
ZHX2,0.0017084842851545546,45
HDGF,0.0017055615470477883,46
PAX4,0.0016909593720432288,47
ZEB2,0.0016837834375716435,48
TLX1,0.0016573583613838613,49
TGFB1I1,0.0016528075604583137,50
NOTCH1,0.001638197243240332,51
PGR,0.001620585476969912,52
LEF1,0.0016079430367729704,53
DDIT3,0.0016048744512469663,54
NFIA,0.0015871286576687757,55
MAML1,0.0015586279949275194,56
PRDM1,0.001551458010241428,57
NFKB2,0.0015395594266010449,58
LHX8,0.0015364101878124832,59
GATA1,0.0015207192810824685,60
RELB,0.0015202990017617898,61
TP53,0.0015135614908407054,62
RELA,0.0015093057980266166,63
BARX1,0.0015080228130803638,64
VENTX,0.001501194286174723,65
RXRG,0.0014826550979397742,66
EGR1,0.0014662079791378346,67
IRF6,0.0014582419431462767,68
ZIC2,0.001457378967703941,69
E2F2,0.001455253448731734,70
E2F7,0.0014502324652009217,71
CEBPA,0.0014489612350492584,72
FOSL1,0.0014451798516650646,73
PPARGC1A,0.0014393933090711168,74
HOXD10,0.001422019343347832,75
HOPX,0.0013862206535122823,76
ESR1,0.0013756243233577455,77
NR3C1,0.0013661916404241008,78
FOSB,0.0013478198282124746,79
VSX2,0.0013450682185672728,80
TCF20,0.0013421863332420496,81
GSC,0.0013364551570703043,82
CREB1,0.0013353917072284579,83
RXRB,0.0013230567391171158,84
CDX2,0.0012938414538136082,85
SMARCA4,0.001286945968483148,86
HOXB9,0.001280219663446284,87
CXXC1,0.001273126824329059,88
SOX10,0.0012617138940186124,89
CREB3,0.0012505164049192294,90
GLIS3,0.0012383354973280803,91
POU2AF1,0.0012357161306378354,92
ZEB1,0.0012221031206536281,93
KLF6,0.0012077771507999083,94
TBP,0.001205314556985589,95
TP73,0.0012004252439055563,96
MAX,0.0011930529168845776,97
APEX1,0.0011904465485410279,98
ETV4,0.0011847815265355166,99
ZNF263,0.0011725566807096282,100
IRF3,0.0011694791925644192,101
CEBPZ,0.0011637576499197166,102
NPAS2,0.0011610541201662271,103
DLX5,0.0011541287584350356,104
EPAS1,0.001151789666255354,105
OVOL1,0.001150848848495419,106
ZBTB7B,0.0011496679506308282,107
PHOX2B,0.0011464017510055176,108
LMO4,0.0011453383469415713,109
TFCP2,0.0011445936621233461,110
E2F5,0.0011402283750006367,111
PAX9,0.0011310545302573398,112
FEV,0.0011302265035434782,113
NR3C2,0.00112871323217405,114
TOX3,0.0011245677727856674,115
HMGB2,0.0011239499188377521,116
SIX3,0.001122379115865139,117
TWIST1,0.0011210765617458188,118
BRD4,0.0011081542226747843,119
WWTR1,0.00110746626264131,120
UTF1,0.0011072362761600136,121
TSHZ3,0.0011065343428223666,122
SP1,0.001105792972174413,123
NFATC4,0.0011009583079915803,124
HAND2,0.0010986480176446397,125
GRHL3,0.0010944112214133384,126
XBP1,0.001093958165923444,127
ZFHX3,0.0010939161243944302,128
KAT6A,0.0010865809847625011,129
FOXG1,0.0010831626789695292,130
TBX10,0.001080905972533704,131
PBRM1,0.001078388036088048,132
HOXA11,0.0010780366190980808,133
TCF3,0.0010778258521289294,134
SP4,0.0010725633421998283,135
VDR,0.0010712302880354703,136
RCOR2,0.0010703098830466236,137
JUNB,0.0010690547566961565,138
MYC,0.0010638991138724426,139
HINFP,0.0010608772898801058,140
CTNNB1,0.0010578535905551689,141
NFIX,0.0010506156930053597,142
THAP11,0.0010472387410118244,143
NHLH2,0.0010468143308268432,144
ATF6,0.0010385837360369502,145
MBD1,0.0010363285839957825,146
CEBPD,0.0010296013352368997,147
MEIS1,0.0010229700528725516,148
ID4,0.0010093706829138681,149
SMAD4,0.0010045314819459841,150
ZNF699,0.0010030973278716715,151
ZNF219,0.0009984589783925911,152
ATF5,0.0009929600198423335,153
TCF4,0.0009927042783298627,154
REST,0.0009734856665697104,155
SKIL,0.0009733955067834662,156
ELF5,0.0009703539303700381,157
E2F1,0.0009700415695988341,158
MXI1,0.0009695823214125691,159
NKRF,0.0009682694950546041,160
SUPT20H,0.000961155048071305,161
BACH1,0.0009608663397254228,162
MLXIPL,0.000955014415376354,163
GTF3A,0.0009549853556867068,164
HOXB1,0.0009541080905061486,165
YBX1,0.0009486189430428264,166
IRF1,0.0009345750769474156,167
MXD1,0.0009292676879908868,168
TAL1,0.0009197214026850513,169
FOXD3,0.0009134035902510126,170
MYBL2,0.0009073291334213233,171
CEBPG,0.0009069410503343533,172
SIX1,0.0009063077189239265,173
KMT2A,0.0009059859604046021,174
AR,0.0008983700852079816,175
LMX1B,0.0008975119743809046,176
BCL11A,0.0008881174705796487,177
TBPL2,0.0008865992509981879,178
KDM5B,0.0008742306948837116,179
MAZ,0.0008729528196586973,180
PAX5,0.000870929819423812,181
RFXAP,0.0008677724174352382,182
RFXANK,0.0008625634105555946,183
WT1,0.0008587418386014178,184
HDAC5,0.000857832360543398,185
PAX1,0.0008577126151067205,186
HLX,0.0008537204602816928,187
OLIG2,0.0008519853025063639,188
KAT6B,0.0008517173814349614,189
PARK7,0.0008489217149569109,190
CUX1,0.000843788205384044,191
MED1,0.0008434435889891271,192
POU4F2,0.0008393465277549694,193
HDAC3,0.0008381264564377488,194
IRF9,0.0008362266051941939,195
ISL1,0.0008326422218980649,196
ATF7,0.0008324518324873982,197
STAT4,0.0008308008066099622,198
NCOA1,0.0008299737161564736,199
HOXB3,0.0008281975634555276,200
TRIM28,0.0008279140308028824,201
BMAL2,0.0008234626286745576,202
ZNF362,0.0008178401934893979,203
CIITA,0.000810690439584505,204
HOXA10,0.0008064608626682457,205
TBX2,0.0007978938846160115,206
RFX3,0.0007973672145377956,207
ZGPAT,0.0007940841022294384,208
LHX1,0.0007916285534899241,209
MESP2,0.0007898921386034393,210
MTA1,0.0007863538037781836,211
STAT1,0.0007836187851959646,212
MLX,0.0007829066151771258,213
MYF6,0.0007818705906781058,214
HES6,0.0007761698449030519,215
SMAD9,0.0007726799830985935,216
SP3,0.0007712775747980535,217
PRDM4,0.0007690424591904351,218
NFE2L3,0.0007622710834766621,219
KAT7,0.0007579959852288691,220
SMARCA5,0.0007569087655004599,221
HIC1,0.0007568933067583809,222
HMGA1,0.0007555873397601924,223
NKX3-2,0.0007550959226136911,224
DMTF1,0.0007537762503185756,225
ZNF804A,0.0007526356239395682,226
TFDP1,0.0007523557656744136,227
ZNF436,0.0007492233041375585,228
TCF21,0.000748648349447952,229
MYRF,0.0007484317206944979,230
SALL1,0.0007402422030584906,231
FOXO4,0.0007380613655186607,232
ZBTB33,0.0007379716549545871,233
OTX2,0.0007365419482160481,234
ZFPM2,0.0007361246959741645,235
FOXA2,0.0007352783735948758,236
E2F3,0.0007311981737681587,237
HOXB7,0.0007301946866694682,238
TADA2A,0.000729813280243737,239
HOXC6,0.0007267373406345238,240
HOXB2,0.0007213067729253453,241
SOX2,0.0007207044929979626,242
FOXN1,0.0007205254572909325,243
CTBP1,0.000718125373384737,244
SALL2,0.0007122352721125935,245
HOXA1,0.0007075667885411955,246
ID3,0.0007056038185813425,247
OLIG1,0.0007055847421118718,248
PPARA,0.0006971750412655335,249
CEBPE,0.0006966869959796895,250
ETS2,0.000695865767571983,251
NKX3-1,0.0006921779412399095,252
HOXD13,0.0006919964880732247,253
FOXC1,0.0006894161063125163,254
PPARGC1B,0.000688141085947791,255
LRRFIP1,0.0006853249771211267,256
TFEB,0.0006760617287000059,257
HOXA4,0.0006720920323156558,258
CREB5,0.0006695121467828358,259
POU2F1,0.0006683818402628105,260
