drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
VER-49009,0.61373687,0.034737956,0.549575,22,Breast (including 12 TNBC),76
anguidine,0.61551315,0.03478942,0.5510105,22,Breast (including 12 TNBC),77
dinaciclib,0.62157816,0.034919206,0.5572033,22,Breast (including 12 TNBC),78
UK-383367,0.6222445,0.034982514,0.5577251,22,Breast (including 12 TNBC),79
deforolimus,0.62276834,0.03491808,0.55843174,22,Breast (including 12 TNBC),80
AC-264613,0.62291056,0.034951665,0.5585713,22,Breast (including 12 TNBC),81
floxuridine,0.62481517,0.034966275,0.5604806,22,Breast (including 12 TNBC),82
parbendazole,0.62583315,0.03505889,0.5612108,22,Breast (including 12 TNBC),83
digitoxin,0.62636536,0.03502153,0.5618605,22,Breast (including 12 TNBC),84
teniposide,0.62681687,0.03503578,0.5623262,22,Breast (including 12 TNBC),85
GGTI-298,0.62810916,0.035040233,0.56359416,22,Breast (including 12 TNBC),86
valrubicin,0.6298289,0.035087958,0.5653706,22,Breast (including 12 TNBC),87
SN-38,0.63036186,0.035176113,0.56534946,22,Breast (including 12 TNBC),88
CR8-(R),0.63176244,0.035088494,0.56726664,22,Breast (including 12 TNBC),89
PD-184352,0.63198495,0.03512639,0.5673663,22,Breast (including 12 TNBC),90
vinflunine,0.63235754,0.034989476,0.56794536,22,Breast (including 12 TNBC),91
fenbendazole,0.635907,0.03522057,0.5710267,22,Breast (including 12 TNBC),92
cladribine,0.6380451,0.035195112,0.573406,22,Breast (including 12 TNBC),93
XL888,0.6460132,0.035245523,0.58119273,22,Breast (including 12 TNBC),94
bortezomib,0.6464317,0.0353811,0.5810665,22,Breast (including 12 TNBC),95
panobinostat,0.6492601,0.03534425,0.5842854,22,Breast (including 12 TNBC),96
alvocidib,0.6501636,0.035357267,0.58535606,22,Breast (including 12 TNBC),97
INH1,0.6530602,0.035429765,0.588027,22,Breast (including 12 TNBC),98
CHIR-124,0.65401626,0.035437834,0.5890643,22,Breast (including 12 TNBC),99
torin-2,0.6570056,0.03543758,0.5923474,22,Breast (including 12 TNBC),100
mubritinib,0.65857846,0.035439894,0.59402966,22,Breast (including 12 TNBC),101
vinorelbine,0.66106105,0.035547048,0.5962773,22,Breast (including 12 TNBC),102
thiram,0.66147816,0.03544208,0.5969517,22,Breast (including 12 TNBC),103
BIBU-1361,0.6621757,0.035481375,0.59780484,22,Breast (including 12 TNBC),104
ML133,0.66220266,0.035448823,0.59781796,22,Breast (including 12 TNBC),105
ABT-751,0.6626009,0.035528358,0.59798956,22,Breast (including 12 TNBC),106
D-7193,0.66323525,0.035434116,0.5988874,22,Breast (including 12 TNBC),107
amsacrine,0.66369826,0.03549793,0.5993379,22,Breast (including 12 TNBC),108
KX2-391,0.6668372,0.035525568,0.6026243,22,Breast (including 12 TNBC),109
STF-118804,0.66827446,0.03558201,0.60412115,22,Breast (including 12 TNBC),110
LY2606368,0.6727777,0.03563335,0.6086378,22,Breast (including 12 TNBC),111
fdcyd,0.6733778,0.03554659,0.6093485,22,Breast (including 12 TNBC),112
anisomycin,0.6753466,0.0356101,0.61130524,22,Breast (including 12 TNBC),113
SNX-5422,0.67789483,0.035653945,0.6139716,22,Breast (including 12 TNBC),114
BMS-626529,0.6841414,0.035630967,0.62040913,22,Breast (including 12 TNBC),115
lestaurtinib,0.6855171,0.03563548,0.6217841,22,Breast (including 12 TNBC),116
nanchangmycin,0.6862759,0.0356368,0.62256473,22,Breast (including 12 TNBC),117
PF-477736,0.6863619,0.035698917,0.6226546,22,Breast (including 12 TNBC),118
digoxin,0.68773,0.03567793,0.62400275,22,Breast (including 12 TNBC),119
clofarabine,0.68787104,0.035673574,0.624189,22,Breast (including 12 TNBC),120
indibulin,0.6895295,0.03564603,0.6260026,22,Breast (including 12 TNBC),121
KPT-276,0.6907248,0.03571807,0.62699115,22,Breast (including 12 TNBC),122
DMH1,0.6920499,0.035693716,0.62836146,22,Breast (including 12 TNBC),123
RS-16566,0.692756,0.03567753,0.6293147,22,Breast (including 12 TNBC),124
NSC-3852,0.69289577,0.03570927,0.6293298,22,Breast (including 12 TNBC),125
givinostat,0.6944555,0.03570772,0.63085425,22,Breast (including 12 TNBC),126
trifluridine,0.69716156,0.035704743,0.63370574,22,Breast (including 12 TNBC),127
pyrithione-zinc,0.69787097,0.035764635,0.6343308,22,Breast (including 12 TNBC),128
mefexamide,0.6981328,0.035716984,0.6346253,22,Breast (including 12 TNBC),129
7-hydroxystaurosporine,0.6992684,0.035765894,0.6358353,22,Breast (including 12 TNBC),130
mitomycin-c,0.7004825,0.035729878,0.63708556,22,Breast (including 12 TNBC),131
HMN-214,0.70169413,0.035769146,0.63827866,22,Breast (including 12 TNBC),132
GW-843682X,0.7038034,0.03578506,0.6403674,22,Breast (including 12 TNBC),133
PHA-665752,0.7053228,0.03575787,0.64200795,22,Breast (including 12 TNBC),134
SRT1720,0.7066529,0.03576978,0.64337754,22,Breast (including 12 TNBC),135
ganetespib,0.7071588,0.03580984,0.6436836,22,Breast (including 12 TNBC),136
AMG-208,0.7086714,0.03575329,0.6454178,22,Breast (including 12 TNBC),137
methotrexate,0.7096581,0.03582542,0.6462523,22,Breast (including 12 TNBC),138
tipifarnib,0.7098228,0.035796825,0.64646566,22,Breast (including 12 TNBC),139
MK-8745,0.7110047,0.03580958,0.647689,22,Breast (including 12 TNBC),140
homoharringtonine,0.7130833,0.03584089,0.64967686,22,Breast (including 12 TNBC),141
BI-2536,0.71312237,0.035833728,0.6497954,22,Breast (including 12 TNBC),142
NVP-AUY922,0.7135319,0.03582168,0.65022284,22,Breast (including 12 TNBC),143
crenolanib,0.7139544,0.035797846,0.65063304,22,Breast (including 12 TNBC),144
MLN-8054,0.7139925,0.03582921,0.650715,22,Breast (including 12 TNBC),145
ixazomib-citrate,0.7154941,0.035834387,0.65216744,22,Breast (including 12 TNBC),146
nocodazole,0.7174948,0.035825923,0.654251,22,Breast (including 12 TNBC),147
refametinib,0.71795934,0.03586639,0.6547253,22,Breast (including 12 TNBC),148
midostaurin,0.72120523,0.03588657,0.6578834,22,Breast (including 12 TNBC),149
GW-842166,0.7222625,0.03587808,0.6590205,22,Breast (including 12 TNBC),150
AG-14361,0.7225835,0.035902657,0.6593241,22,Breast (including 12 TNBC),151
MEK162,0.72481906,0.035964396,0.66153765,22,Breast (including 12 TNBC),152
puromycin,0.7248663,0.03595815,0.66159797,22,Breast (including 12 TNBC),153
digitoxigenin,0.72590613,0.036002252,0.6625381,22,Breast (including 12 TNBC),154
daunorubicin,0.72715014,0.03599575,0.66385424,22,Breast (including 12 TNBC),155
BI-D1870,0.72903925,0.036030564,0.665689,22,Breast (including 12 TNBC),156
