drug,mean_predicted_auc,std_predicted_auc,min_predicted_auc,n_cell_lines,subtype,rank
thiostrepton,0.85288393,0.038271457,0.78701454,22,Breast (including 12 TNBC),334
GSK2110183,0.85323733,0.038315963,0.78719634,22,Breast (including 12 TNBC),335
dianhydrogalactitol,0.85364187,0.038328946,0.7875759,22,Breast (including 12 TNBC),336
etoposide,0.85377675,0.038262133,0.78795856,22,Breast (including 12 TNBC),337
vorinostat,0.853883,0.03829002,0.7880096,22,Breast (including 12 TNBC),338
temsirolimus,0.854278,0.038315833,0.7882413,22,Breast (including 12 TNBC),339
PFI-1,0.8545781,0.03828106,0.7887351,22,Breast (including 12 TNBC),340
pacritinib,0.85477155,0.038317986,0.78871125,22,Breast (including 12 TNBC),341
belinostat,0.8548345,0.038286917,0.7888733,22,Breast (including 12 TNBC),342
frentizole,0.8553329,0.038342535,0.7892609,22,Breast (including 12 TNBC),343
adefovir-dipivoxil,0.8570931,0.03839077,0.7908351,22,Breast (including 12 TNBC),344
irinotecan,0.85809493,0.038195927,0.79248554,22,Breast (including 12 TNBC),345
BAN-ORL-24,0.85842586,0.038368262,0.792218,22,Breast (including 12 TNBC),346
SB-743921,0.8584702,0.038383473,0.79226226,22,Breast (including 12 TNBC),347
asymmetrical-dimethylarginine,0.8589718,0.038393088,0.7927045,22,Breast (including 12 TNBC),348
BAY-11-7082,0.85917383,0.03829771,0.79314655,22,Breast (including 12 TNBC),349
aurora-a-inhibitor-i,0.8597307,0.03837128,0.79364836,22,Breast (including 12 TNBC),350
GDC-0152,0.86059535,0.038411252,0.7943183,22,Breast (including 12 TNBC),351
MK-3207,0.86134267,0.038435478,0.79511076,22,Breast (including 12 TNBC),352
spiradoline,0.86191344,0.038431067,0.7957689,22,Breast (including 12 TNBC),353
K-858,0.86235905,0.038420893,0.796042,22,Breast (including 12 TNBC),354
CYC116,0.8624605,0.038338114,0.79622024,22,Breast (including 12 TNBC),355
poziotinib,0.8625414,0.038466875,0.79608077,22,Breast (including 12 TNBC),356
oncrasin-1,0.8626681,0.038485706,0.7961457,22,Breast (including 12 TNBC),357
lappaconite,0.8627373,0.03849158,0.79621845,22,Breast (including 12 TNBC),358
PJ-34,0.8641418,0.038419757,0.7978294,22,Breast (including 12 TNBC),359
neratinib,0.8647928,0.03850215,0.79826146,22,Breast (including 12 TNBC),360
SC-144,0.864894,0.038522873,0.7983099,22,Breast (including 12 TNBC),361
LY2874455,0.86496085,0.038485993,0.79848385,22,Breast (including 12 TNBC),362
mycophenolic-acid,0.86508584,0.03847467,0.79886055,22,Breast (including 12 TNBC),363
ONC201,0.866119,0.038529262,0.7995244,22,Breast (including 12 TNBC),364
scriptaid,0.86619663,0.038497336,0.79975724,22,Breast (including 12 TNBC),365
dapivirine,0.86709905,0.038559698,0.8004151,22,Breast (including 12 TNBC),366
foretinib,0.8672869,0.038541667,0.8006239,22,Breast (including 12 TNBC),367
hyoscyamine,0.8673899,0.038544778,0.8008248,22,Breast (including 12 TNBC),368
NSC-632839,0.86740935,0.03845844,0.80087304,22,Breast (including 12 TNBC),369
PF-05212384,0.86814,0.038550172,0.80147576,22,Breast (including 12 TNBC),370
fluorometholone,0.86884904,0.03858309,0.8020498,22,Breast (including 12 TNBC),371
tenovin-6,0.86929,0.03856098,0.80267143,22,Breast (including 12 TNBC),372
pelitinib,0.8693336,0.038594287,0.80254644,22,Breast (including 12 TNBC),373
LY3023414,0.8695774,0.038607962,0.80277234,22,Breast (including 12 TNBC),374
NU6027,0.8695929,0.03855325,0.8029718,22,Breast (including 12 TNBC),375
afatinib,0.87020457,0.03860824,0.80343586,22,Breast (including 12 TNBC),376
polydatin,0.87027377,0.038624343,0.8034287,22,Breast (including 12 TNBC),377
RAF265,0.87051564,0.0386179,0.80367094,22,Breast (including 12 TNBC),378
cholecalciferol,0.87068576,0.038629405,0.8038189,22,Breast (including 12 TNBC),379
tranilast,0.8707885,0.03862323,0.803996,22,Breast (including 12 TNBC),380
azithromycin,0.8710661,0.038637158,0.8042051,22,Breast (including 12 TNBC),381
evodiamine,0.8713573,0.03862904,0.80450875,22,Breast (including 12 TNBC),382
JNJ-26481585,0.87145615,0.038577598,0.80477893,22,Breast (including 12 TNBC),383
methiazole,0.87233585,0.03866824,0.8052879,22,Breast (including 12 TNBC),384
dronedarone,0.8724035,0.03863832,0.8055817,22,Breast (including 12 TNBC),385
JTE-607,0.87382454,0.0385348,0.8070145,22,Breast (including 12 TNBC),386
U-0126,0.8745155,0.038677115,0.8075018,22,Breast (including 12 TNBC),387
pitavastatin,0.87485427,0.03869863,0.8078218,22,Breast (including 12 TNBC),388
niraparib,0.87505436,0.03866782,0.8081624,22,Breast (including 12 TNBC),389
alexidine,0.87548375,0.038662236,0.8087092,22,Breast (including 12 TNBC),390
talazoparib,0.87548864,0.038707957,0.80847734,22,Breast (including 12 TNBC),391
SB-239063,0.87589926,0.038696554,0.8087846,22,Breast (including 12 TNBC),392
JIB04,0.8759079,0.03869986,0.809057,22,Breast (including 12 TNBC),393
osimertinib,0.8762192,0.038722817,0.80904084,22,Breast (including 12 TNBC),394
curcumin,0.8768814,0.038710915,0.8097623,22,Breast (including 12 TNBC),395
uprosertib,0.8772657,0.038719498,0.81014174,22,Breast (including 12 TNBC),396
idasanutlin,0.8776632,0.038724583,0.81051403,22,Breast (including 12 TNBC),397
tozasertib,0.8780495,0.03874207,0.81082875,22,Breast (including 12 TNBC),398
vandetanib,0.8780787,0.038742296,0.81084734,22,Breast (including 12 TNBC),399
CX-4945,0.8781284,0.038724516,0.8110102,22,Breast (including 12 TNBC),400
saracatinib,0.8781706,0.03874368,0.810959,22,Breast (including 12 TNBC),401
carmofur,0.8788761,0.038726125,0.81182396,22,Breast (including 12 TNBC),402
SB-431542,0.87892586,0.038755767,0.81167144,22,Breast (including 12 TNBC),403
golvatinib,0.8789282,0.038757954,0.81166047,22,Breast (including 12 TNBC),404
tedizolid-phosphate,0.8793732,0.038762387,0.8120594,22,Breast (including 12 TNBC),405
AZD5363,0.87996966,0.03876752,0.81266314,22,Breast (including 12 TNBC),406
broxaldine,0.8812347,0.038793705,0.8137941,22,Breast (including 12 TNBC),407
eplerenone,0.88172156,0.03880877,0.81429696,22,Breast (including 12 TNBC),408
radezolid,0.88178,0.038801644,0.81426996,22,Breast (including 12 TNBC),409
canertinib,0.8818409,0.03880474,0.81444615,22,Breast (including 12 TNBC),410
erastin,0.88217264,0.03879944,0.81480855,22,Breast (including 12 TNBC),411
1-naphthyl-PP1,0.8829777,0.038682178,0.8157083,22,Breast (including 12 TNBC),412
taselisib,0.88386387,0.038831756,0.81643385,22,Breast (including 12 TNBC),413
10-deacetylbaccatin,0.8839108,0.038827978,0.8163021,22,Breast (including 12 TNBC),414
4E1RCat,0.8840048,0.03875775,0.8167765,22,Breast (including 12 TNBC),415
BMS-707035,0.8841701,0.038833175,0.81661975,22,Breast (including 12 TNBC),416
PD-318088,0.8842571,0.038791675,0.81689674,22,Breast (including 12 TNBC),417
DU-728,0.88484687,0.038864005,0.81719226,22,Breast (including 12 TNBC),418
decitabine,0.8855154,0.038843565,0.81799096,22,Breast (including 12 TNBC),419
proflavine-hemisulfate,0.8855948,0.038875483,0.8178012,22,Breast (including 12 TNBC),420
NVP-BVU972,0.8860021,0.0388167,0.8184521,22,Breast (including 12 TNBC),421
isopropyl-myristate,0.88603014,0.03887486,0.8182146,22,Breast (including 12 TNBC),422
chlormidazole,0.8861431,0.038882088,0.81833297,22,Breast (including 12 TNBC),423
oxiracetam,0.8865516,0.038878623,0.818798,22,Breast (including 12 TNBC),424
CX-5461,0.8867569,0.03888015,0.81894165,22,Breast (including 12 TNBC),425
practolol,0.8868004,0.038900327,0.8189896,22,Breast (including 12 TNBC),426
5-hydroxymethyl-tolterodine,0.8870733,0.03888051,0.81945616,22,Breast (including 12 TNBC),427
tucatinib,0.887182,0.038876805,0.81958646,22,Breast (including 12 TNBC),428
BAY-K-8644-(s)-(-),0.88749945,0.038895182,0.81973904,22,Breast (including 12 TNBC),429
PQ-401,0.88982147,0.0389165,0.8219573,22,Breast (including 12 TNBC),430
indoprofen,0.8903015,0.03893774,0.822365,22,Breast (including 12 TNBC),431
axitinib,0.890397,0.03894976,0.8224283,22,Breast (including 12 TNBC),432
pentagastrin,0.8905661,0.038866255,0.82307374,22,Breast (including 12 TNBC),433
aminopurvalanol-a,0.8905897,0.038895756,0.8228504,22,Breast (including 12 TNBC),434
ribociclib,0.89059603,0.038911954,0.8228131,22,Breast (including 12 TNBC),435
Ro-9187,0.89098305,0.038935054,0.8229533,22,Breast (including 12 TNBC),436
cyclovalone,0.89116323,0.038911514,0.82350874,22,Breast (including 12 TNBC),437
mibampator,0.89126354,0.038948957,0.8233264,22,Breast (including 12 TNBC),438
genipin,0.8913462,0.038958635,0.8232201,22,Breast (including 12 TNBC),439
tetramethylthiuram-monosulfide,0.89146155,0.03893652,0.82347393,22,Breast (including 12 TNBC),440
SB-525334,0.8920153,0.03896797,0.8239749,22,Breast (including 12 TNBC),441
broxyquinoline,0.8930586,0.038972653,0.82491237,22,Breast (including 12 TNBC),442
xanomeline,0.8935789,0.038974214,0.82558477,22,Breast (including 12 TNBC),443
abemaciclib,0.8936606,0.03895913,0.8256696,22,Breast (including 12 TNBC),444
cinacalcet,0.8943948,0.038993035,0.82628316,22,Breast (including 12 TNBC),445
tetrandrine,0.8944376,0.039002527,0.8261833,22,Breast (including 12 TNBC),446
dolutegravir,0.8945354,0.039008107,0.8263388,22,Breast (including 12 TNBC),447
oridonin,0.8945509,0.039006032,0.8263039,22,Breast (including 12 TNBC),448
fosbretabulin,0.89459324,0.03901125,0.8263317,22,Breast (including 12 TNBC),449
navarixin,0.89508706,0.039014835,0.8268233,22,Breast (including 12 TNBC),450
meclizine,0.895257,0.039005864,0.82708126,22,Breast (including 12 TNBC),451
rociletinib,0.89561325,0.039012466,0.8274142,22,Breast (including 12 TNBC),452
papaverine,0.8964802,0.03903113,0.8282537,22,Breast (including 12 TNBC),453
BIBX-1382,0.8968605,0.038985442,0.8287063,22,Breast (including 12 TNBC),454
tanshinone-i,0.89689296,0.039033547,0.82854086,22,Breast (including 12 TNBC),455
oxiperomide,0.8968985,0.039030712,0.82852274,22,Breast (including 12 TNBC),456
indisulam,0.8969688,0.039026015,0.8288047,22,Breast (including 12 TNBC),457
rutin,0.8974779,0.039018337,0.8292732,22,Breast (including 12 TNBC),458
cyproterone-acetate,0.8975193,0.039057463,0.8291225,22,Breast (including 12 TNBC),459
EVP4593,0.89754033,0.039032184,0.8291716,22,Breast (including 12 TNBC),460
NVP-BEZ235,0.89790213,0.039030597,0.82961637,22,Breast (including 12 TNBC),461
thiomersal,0.89862484,0.03904374,0.8303107,22,Breast (including 12 TNBC),462
sarafloxacin,0.8988607,0.0390507,0.8304048,22,Breast (including 12 TNBC),463
chloroxine,0.89908844,0.03900808,0.8309616,22,Breast (including 12 TNBC),464
iodipamide,0.8991141,0.039044358,0.8308618,22,Breast (including 12 TNBC),465
anagrelide,0.89995784,0.03907648,0.8314821,22,Breast (including 12 TNBC),466
ciclopirox,0.9014744,0.03903485,0.83317286,22,Breast (including 12 TNBC),467
LY364947,0.90166074,0.03910434,0.8330528,22,Breast (including 12 TNBC),468
mozavaptan,0.9024471,0.03908635,0.83392495,22,Breast (including 12 TNBC),469
LY2801653,0.90245783,0.039093025,0.83393663,22,Breast (including 12 TNBC),470
barasertib,0.90332484,0.03904892,0.83499175,22,Breast (including 12 TNBC),471
pentamidine,0.9038483,0.03910185,0.8352355,22,Breast (including 12 TNBC),472
CUDC-101,0.9041794,0.03912287,0.8355717,22,Breast (including 12 TNBC),473
salinomycin,0.9043806,0.039137833,0.83548445,22,Breast (including 12 TNBC),474
methoxyflurane,0.9046345,0.039131355,0.8359814,22,Breast (including 12 TNBC),475
sulconazole,0.9049316,0.03914309,0.8360681,22,Breast (including 12 TNBC),476
tedizolid,0.90507454,0.0391435,0.8361904,22,Breast (including 12 TNBC),477
IOWH032,0.90590566,0.03914544,0.83713526,22,Breast (including 12 TNBC),478
XL388,0.90644246,0.039143976,0.837691,22,Breast (including 12 TNBC),479
BVT-948,0.90712094,0.03909775,0.838509,22,Breast (including 12 TNBC),480
AM-580,0.9071291,0.039143793,0.8383925,22,Breast (including 12 TNBC),481
everolimus,0.9077934,0.03915903,0.83895916,22,Breast (including 12 TNBC),482
WZ-4002,0.9079205,0.03918084,0.8389755,22,Breast (including 12 TNBC),483
spermidine,0.9084787,0.039184436,0.8395201,22,Breast (including 12 TNBC),484
MEK1-2-inhibitor,0.9085516,0.039164774,0.8397142,22,Breast (including 12 TNBC),485
oxaliplatin,0.9098353,0.03919733,0.8407178,22,Breast (including 12 TNBC),486
MK-2206,0.9099362,0.039206624,0.8408775,22,Breast (including 12 TNBC),487
AZD2014,0.91000575,0.03919313,0.8409751,22,Breast (including 12 TNBC),488
motesanib,0.910216,0.039200492,0.84121066,22,Breast (including 12 TNBC),489
AP26113,0.91109127,0.039241154,0.84189457,22,Breast (including 12 TNBC),490
adaprev,0.9113131,0.039201424,0.8422918,22,Breast (including 12 TNBC),491
BMS-754807,0.9118313,0.039218854,0.84271634,22,Breast (including 12 TNBC),492
tivozanib,0.91273516,0.03924672,0.8435139,22,Breast (including 12 TNBC),493
dequalinium,0.9128366,0.03922239,0.84369546,22,Breast (including 12 TNBC),494
cyclovirobuxin-d,0.912898,0.039233834,0.84359986,22,Breast (including 12 TNBC),495
crizotinib,0.9129978,0.03925026,0.8437249,22,Breast (including 12 TNBC),496
menadione,0.9133012,0.03927109,0.8438718,22,Breast (including 12 TNBC),497
darapladib,0.9133901,0.0392167,0.8444738,22,Breast (including 12 TNBC),498
niclosamide,0.9134071,0.03924384,0.84419626,22,Breast (including 12 TNBC),499
tamibarotene,0.9137011,0.039256997,0.844431,22,Breast (including 12 TNBC),500
CHIR-98014,0.91435504,0.03922989,0.8452309,22,Breast (including 12 TNBC),501
lonafarnib,0.914533,0.03917636,0.84557945,22,Breast (including 12 TNBC),502
fluticasone-propionate,0.9154623,0.03928402,0.8460315,22,Breast (including 12 TNBC),503
thiamine,0.9158947,0.039254267,0.8466984,22,Breast (including 12 TNBC),504
navitoclax,0.9162296,0.039291564,0.8468215,22,Breast (including 12 TNBC),505
odanacatib,0.9163687,0.039302696,0.846886,22,Breast (including 12 TNBC),506
NMS-873,0.9167327,0.03926023,0.8474758,22,Breast (including 12 TNBC),507
alpelisib,0.91676766,0.03930246,0.84730226,22,Breast (including 12 TNBC),508
cyt387,0.91691935,0.039300602,0.84744453,22,Breast (including 12 TNBC),509
AMG-232,0.91714877,0.039287604,0.8477864,22,Breast (including 12 TNBC),510
linsitinib,0.91725194,0.03929235,0.847879,22,Breast (including 12 TNBC),511
hexachlorophene,0.91731036,0.03927127,0.84796375,22,Breast (including 12 TNBC),512
pyroxamide,0.9174519,0.039207965,0.8483126,22,Breast (including 12 TNBC),513
AVN-944,0.91747415,0.03921904,0.8484735,22,Breast (including 12 TNBC),514
AZD4547,0.91771376,0.039298892,0.8482762,22,Breast (including 12 TNBC),515
LY2090314,0.9180942,0.039292715,0.84861964,22,Breast (including 12 TNBC),516
oltipraz,0.9181526,0.03931325,0.8486547,22,Breast (including 12 TNBC),517
cytochlor,0.91867256,0.039295398,0.84907705,22,Breast (including 12 TNBC),518
toremifene,0.9187958,0.03931313,0.8493212,22,Breast (including 12 TNBC),519
noretynodrel,0.91880834,0.039347664,0.84908515,22,Breast (including 12 TNBC),520
MGCD-265,0.9189493,0.039250493,0.84961593,22,Breast (including 12 TNBC),521
parthenolide-(-),0.9191218,0.039287873,0.84973884,22,Breast (including 12 TNBC),522
hexaminolevulinate,0.91914076,0.039312966,0.84953696,22,Breast (including 12 TNBC),523
GDC-0980,0.9204622,0.039335325,0.85080624,22,Breast (including 12 TNBC),524
NMS-1286937,0.9209025,0.03931353,0.8514288,22,Breast (including 12 TNBC),525
vatalanib,0.9211611,0.039358035,0.8514059,22,Breast (including 12 TNBC),526
estramustine,0.9215667,0.039366413,0.8517495,22,Breast (including 12 TNBC),527
tioguanine,0.921697,0.03933603,0.8518973,22,Breast (including 12 TNBC),528
cariporide,0.9219852,0.039362647,0.8521571,22,Breast (including 12 TNBC),529
TG-101348,0.92242104,0.039361477,0.8526704,22,Breast (including 12 TNBC),530
teriflunomide,0.92258817,0.03929534,0.853138,22,Breast (including 12 TNBC),531
PIK-75,0.9225966,0.039340436,0.85286945,22,Breast (including 12 TNBC),532
ruxolitinib,0.9235653,0.039369777,0.8537566,22,Breast (including 12 TNBC),533
5-fluorouracil,0.92408043,0.039352868,0.8543687,22,Breast (including 12 TNBC),534
defactinib,0.9246929,0.039358538,0.8549101,22,Breast (including 12 TNBC),535
chlorhexidine,0.9249306,0.039394315,0.8547828,22,Breast (including 12 TNBC),536
idelalisib,0.92505324,0.03939155,0.85509545,22,Breast (including 12 TNBC),537
theophylline,0.9253904,0.03938254,0.8553118,22,Breast (including 12 TNBC),538
gefitinib,0.9257812,0.039386053,0.85587376,22,Breast (including 12 TNBC),539
tacedinaline,0.9257902,0.039367914,0.85594946,22,Breast (including 12 TNBC),540
calcitriol,0.9259406,0.0394075,0.8558997,22,Breast (including 12 TNBC),541
norepinephrine,0.9261641,0.039400227,0.8561315,22,Breast (including 12 TNBC),542
merimepodib,0.92650276,0.039313126,0.8570828,22,Breast (including 12 TNBC),543
lenvatinib,0.92744786,0.039422315,0.85734785,22,Breast (including 12 TNBC),544
digoxigenin,0.9275331,0.039400827,0.85738796,22,Breast (including 12 TNBC),545
GSK1904529A,0.9276415,0.039425116,0.8575233,22,Breast (including 12 TNBC),546
batimastat,0.9277707,0.039432976,0.8576326,22,Breast (including 12 TNBC),547
domiphen,0.9280941,0.039431907,0.85776263,22,Breast (including 12 TNBC),548
CP-724714,0.92864573,0.039429225,0.85851973,22,Breast (including 12 TNBC),549
doxifluridine,0.92878646,0.03937708,0.8589345,22,Breast (including 12 TNBC),550
2-methoxyestradiol,0.9290152,0.039418094,0.8589303,22,Breast (including 12 TNBC),551
baricitinib,0.9300112,0.03944793,0.859763,22,Breast (including 12 TNBC),552
hexylresorcinol,0.93011916,0.039471034,0.8598249,22,Breast (including 12 TNBC),553
fenoprofen,0.93038136,0.039469156,0.8600795,22,Breast (including 12 TNBC),554
ONX-0914,0.9304684,0.039437227,0.86009526,22,Breast (including 12 TNBC),555
PD-0325901,0.9305103,0.039437637,0.8603526,22,Breast (including 12 TNBC),556
bitopertin,0.9310936,0.039458413,0.8608583,22,Breast (including 12 TNBC),557
ibrutinib,0.93178123,0.03947282,0.86134547,22,Breast (including 12 TNBC),558
MRS-1220,0.93204135,0.039470818,0.86166894,22,Breast (including 12 TNBC),559
AMG900,0.9321634,0.03941683,0.8620508,22,Breast (including 12 TNBC),560
pepstatin,0.9330889,0.03947414,0.86274207,22,Breast (including 12 TNBC),561
pyrimethamine,0.93358874,0.039486203,0.86313015,22,Breast (including 12 TNBC),562
temazepam,0.9340588,0.039491642,0.8637209,22,Breast (including 12 TNBC),563
TMC-353121,0.9343933,0.039495707,0.8637971,22,Breast (including 12 TNBC),564
pterostilbene,0.93443054,0.03951357,0.8639675,22,Breast (including 12 TNBC),565
bisacodyl,0.9346258,0.03951483,0.86395437,22,Breast (including 12 TNBC),566
R406,0.93485034,0.03950841,0.8643941,22,Breast (including 12 TNBC),567
bexarotene,0.93494964,0.039518885,0.8644522,22,Breast (including 12 TNBC),568
semaxanib,0.9363535,0.039522413,0.8657965,22,Breast (including 12 TNBC),569
TAK-715,0.9367237,0.03950736,0.8662752,22,Breast (including 12 TNBC),570
vismodegib,0.9373877,0.039542373,0.8667744,22,Breast (including 12 TNBC),571
dovitinib,0.9380219,0.039530408,0.86743444,22,Breast (including 12 TNBC),572
E7449,0.9381956,0.039509438,0.8677346,22,Breast (including 12 TNBC),573
PD-168393,0.9384363,0.03952379,0.8679282,22,Breast (including 12 TNBC),574
tanaproget,0.93855613,0.039546948,0.8679459,22,Breast (including 12 TNBC),575
indirubin,0.9385825,0.039523486,0.8680343,22,Breast (including 12 TNBC),576
SB-505124,0.93873423,0.03953959,0.86816823,22,Breast (including 12 TNBC),577
AM-404,0.9391913,0.039545655,0.8686127,22,Breast (including 12 TNBC),578
AS-703026,0.9393701,0.039525084,0.8688179,22,Breast (including 12 TNBC),579
CNX-2006,0.9395393,0.039537314,0.8688882,22,Breast (including 12 TNBC),580
pheniramine,0.93964404,0.03955249,0.8690012,22,Breast (including 12 TNBC),581
SB-242235,0.9412903,0.03953457,0.8706195,22,Breast (including 12 TNBC),582
AEE788,0.94129205,0.039553847,0.87062424,22,Breast (including 12 TNBC),583
"2,3-DCPE",0.941413,0.0395507,0.870869,22,Breast (including 12 TNBC),584
lapatinib,0.9414425,0.039530173,0.87077516,22,Breast (including 12 TNBC),585
amfenac,0.9416675,0.039555762,0.8710362,22,Breast (including 12 TNBC),586
MK-8245,0.9417341,0.03955432,0.8710417,22,Breast (including 12 TNBC),587
ARRY-334543,0.94198686,0.039551307,0.87125355,22,Breast (including 12 TNBC),588
resiquimod,0.94242764,0.039561044,0.8716927,22,Breast (including 12 TNBC),589
simvastatin,0.9425018,0.039560687,0.8718154,22,Breast (including 12 TNBC),590
nitarsone,0.9425894,0.039586477,0.8718994,22,Breast (including 12 TNBC),591
darifenacin,0.9428036,0.039566103,0.87216896,22,Breast (including 12 TNBC),592
R547,0.94372314,0.039551634,0.8730707,22,Breast (including 12 TNBC),593
azilsartan,0.94383585,0.03956905,0.8732451,22,Breast (including 12 TNBC),594
NMS-E973,0.94390845,0.03960363,0.8731443,22,Breast (including 12 TNBC),595
arctigenin,0.94498706,0.039570317,0.8742841,22,Breast (including 12 TNBC),596
MLN0128,0.9450689,0.039567903,0.874389,22,Breast (including 12 TNBC),597
UNC2250,0.9451342,0.039573647,0.87456983,22,Breast (including 12 TNBC),598
NVP-TAE684,0.9452414,0.03958443,0.8745677,22,Breast (including 12 TNBC),599
GSK1292263,0.9452841,0.039571766,0.87464935,22,Breast (including 12 TNBC),600
trovafloxacin,0.9457225,0.03955481,0.8750245,22,Breast (including 12 TNBC),601
tideglusib,0.9459227,0.03957093,0.8752993,22,Breast (including 12 TNBC),602
sertindole,0.9459786,0.039581172,0.87544197,22,Breast (including 12 TNBC),603
bafetinib,0.9461021,0.0395795,0.8754408,22,Breast (including 12 TNBC),604
telotristat-ethyl,0.94706744,0.039595515,0.87649935,22,Breast (including 12 TNBC),605
nonoxynol-9,0.9474375,0.03963408,0.8767016,22,Breast (including 12 TNBC),606
tyrphostin-AG-494,0.94765013,0.039583344,0.8768975,22,Breast (including 12 TNBC),607
ciprofibrate,0.9478453,0.0395834,0.87726027,22,Breast (including 12 TNBC),608
SB-2343,0.9482189,0.03959214,0.8775237,22,Breast (including 12 TNBC),609
SB-218795,0.9487797,0.03962012,0.87823904,22,Breast (including 12 TNBC),610
mycophenolate-mofetil,0.948821,0.03957592,0.87826055,22,Breast (including 12 TNBC),611
HA14-1,0.9489375,0.03961988,0.8782942,22,Breast (including 12 TNBC),612
oxyquinoline,0.94897366,0.03959658,0.87831193,22,Breast (including 12 TNBC),613
bentazepam,0.9490532,0.039649636,0.8783284,22,Breast (including 12 TNBC),614
clomifene,0.9493571,0.039607164,0.8788049,22,Breast (including 12 TNBC),615
BAY-11-7085,0.95015806,0.039573744,0.87930447,22,Breast (including 12 TNBC),616
thioguanine,0.95047456,0.039586008,0.8799272,22,Breast (including 12 TNBC),617
deflazacort,0.95049864,0.03961399,0.8798449,22,Breast (including 12 TNBC),618
xilobam,0.9505026,0.039665863,0.879749,22,Breast (including 12 TNBC),619
NSC-663284,0.9505657,0.039581075,0.87972385,22,Breast (including 12 TNBC),620
FERb-033,0.9507309,0.039602324,0.8799794,22,Breast (including 12 TNBC),621
RG108,0.9510889,0.03960427,0.8803963,22,Breast (including 12 TNBC),622
bis(maltolato)oxovanadium(IV),0.95155376,0.03960687,0.88074636,22,Breast (including 12 TNBC),623
OTX015,0.95171267,0.039596837,0.88094467,22,Breast (including 12 TNBC),624
betulinic-acid,0.9517893,0.039626714,0.88146937,22,Breast (including 12 TNBC),625
BI-78D3,0.9519381,0.03960479,0.8812215,22,Breast (including 12 TNBC),626
gastrodin,0.9519695,0.03967524,0.88121665,22,Breast (including 12 TNBC),627
IDRA-21,0.9528664,0.039639574,0.8824463,22,Breast (including 12 TNBC),628
lucitanib,0.9531286,0.03965125,0.88249904,22,Breast (including 12 TNBC),629
licochalcone-a,0.953174,0.03961064,0.88233936,22,Breast (including 12 TNBC),630
temoporfin,0.95333505,0.039683357,0.88263077,22,Breast (including 12 TNBC),631
birinapant,0.9539621,0.039608356,0.8831704,22,Breast (including 12 TNBC),632
A-674563,0.95396745,0.039633494,0.88327473,22,Breast (including 12 TNBC),633
ethacridine-lactate-monohydrate,0.9542701,0.039688617,0.8835594,22,Breast (including 12 TNBC),634
PR-619,0.95550466,0.039703686,0.88476175,22,Breast (including 12 TNBC),635
golgicide-a,0.9565872,0.039651174,0.8860054,22,Breast (including 12 TNBC),636
icotinib,0.9570305,0.039666846,0.8863501,22,Breast (including 12 TNBC),637
oxprenolol,0.95731986,0.039685946,0.8866894,22,Breast (including 12 TNBC),638
sonidegib,0.9573443,0.03969033,0.88668424,22,Breast (including 12 TNBC),639
imiquimod,0.95742583,0.03970887,0.88683975,22,Breast (including 12 TNBC),640
imatinib,0.958015,0.039689682,0.887412,22,Breast (including 12 TNBC),641
linifanib,0.95867234,0.039706357,0.88806057,22,Breast (including 12 TNBC),642
teprenone,0.95960546,0.039713465,0.8889635,22,Breast (including 12 TNBC),643
PSI-7976,0.95961756,0.03972232,0.8889625,22,Breast (including 12 TNBC),644
butylscopolamine-bromide,0.9599295,0.039729025,0.8892694,22,Breast (including 12 TNBC),645
drospirenone,0.96087927,0.039723262,0.8902966,22,Breast (including 12 TNBC),646
PHA-793887,0.9611563,0.039658353,0.8901852,22,Breast (including 12 TNBC),647
BMS-345541,0.9612564,0.03970516,0.8906532,22,Breast (including 12 TNBC),648
repsox,0.96137923,0.039720494,0.89074975,22,Breast (including 12 TNBC),649
VS-4718,0.9615208,0.039737828,0.890814,22,Breast (including 12 TNBC),650
carvedilol,0.96196645,0.03972687,0.8913903,22,Breast (including 12 TNBC),651
TC1,0.9621058,0.03973311,0.8914098,22,Breast (including 12 TNBC),652
idazoxan,0.9625005,0.03972335,0.8919005,22,Breast (including 12 TNBC),653
SNS-314,0.9625814,0.03970386,0.8918217,22,Breast (including 12 TNBC),654
norfloxacin,0.9626829,0.039687473,0.8919795,22,Breast (including 12 TNBC),655
alfacalcidol,0.96334994,0.03973406,0.8927731,22,Breast (including 12 TNBC),656
saxagliptin,0.9634238,0.03973619,0.8928693,22,Breast (including 12 TNBC),657
zaleplon,0.9638083,0.039738573,0.8931923,22,Breast (including 12 TNBC),658
Y-39983,0.9641662,0.039733447,0.89354986,22,Breast (including 12 TNBC),659
idronoxil,0.9647483,0.0397398,0.894032,22,Breast (including 12 TNBC),660
FR-139317,0.9648346,0.039754268,0.8941528,22,Breast (including 12 TNBC),661
daclatasvir,0.9648369,0.039770875,0.89415395,22,Breast (including 12 TNBC),662
ETP-46464,0.9652634,0.03977316,0.8945063,22,Breast (including 12 TNBC),663
GDC-0068,0.96532196,0.039756894,0.89471924,22,Breast (including 12 TNBC),664
embelin,0.96574026,0.039715957,0.8948706,22,Breast (including 12 TNBC),665
WP1066,0.96595293,0.039739132,0.89517564,22,Breast (including 12 TNBC),666
resminostat,0.9660395,0.039719354,0.89522,22,Breast (including 12 TNBC),667
erdafitinib,0.96606183,0.039750967,0.8954134,22,Breast (including 12 TNBC),668
