tf,importance_mean,rank
ZEB1,0.003484945542732021,1
MZF1,0.003347502111500944,2
RELA,0.0031095876642818136,3
IRX1,0.0028549156139585346,4
HIVEP1,0.002827478968356445,5
AEBP1,0.002724374638819427,6
BCOR,0.0026096869332832284,7
HOXB9,0.0022816995411327904,8
HOXB7,0.0019760714640142396,9
TET1,0.001964292411503266,10
SETBP1,0.0019627633194128674,11
RELB,0.0019089590252406197,12
SPDEF,0.0018456337675161194,13
ZNF362,0.0017746110096481971,14
SIX3,0.0017089972129421464,15
ZBTB7B,0.0016859584363070705,16
DNMT3A,0.0016685261238308159,17
ASXL1,0.0016654883860610426,18
KLF8,0.0016563380766683622,19
ZXDC,0.0015614318229684916,20
NFAT5,0.0015558785512742664,21
RUNX2,0.0015432598956977017,22
THRB,0.0015155836266785628,23
ESR1,0.0014587895523391126,24
HTATIP2,0.0014402965750984246,25
LHX1,0.0014145537332296953,26
PROX1,0.0013819646835599997,27
EGR4,0.001345353719261766,28
TRPS1,0.0013076051899133744,29
CXXC1,0.0012937079174738149,30
HOXD3,0.0012840215349569917,31
TLX1,0.0012749766683327834,32
TCF21,0.0012721887545922073,33
VHL,0.0012703085139188868,34
TFAP2C,0.0012652923138375626,35
IRF3,0.0012314804960624314,36
FOSB,0.0012157855495388502,37
HR,0.0012070856132292344,38
GRHL3,0.0012004502296273738,39
RFX1,0.0011992982164178063,40
ZNF219,0.0011978848625706937,41
MYCN,0.0011913067998345166,42
TBX2,0.0011869194587840564,43
JUND,0.0011848874252791575,44
GRHL2,0.0011747125084487682,45
E2F1,0.001162608680503278,46
PPARGC1B,0.0011502780940797189,47
ARID1A,0.0011486373212998538,48
RFXANK,0.0011377959580689398,49
CTBP1,0.0011371165190572205,50
CREB3L1,0.0011354691919829444,51
NFKB2,0.001112330651085358,52
MEIS1,0.0010960374804199092,53
E2F5,0.0010926110230106663,54
NSD2,0.0010922409892884844,55
STAT3,0.0010739669148051689,56
VENTX,0.0010689529599706778,57
TFAP2B,0.0010595583322356105,58
REL,0.0010594471129517539,59
KLF12,0.0010511555022276297,60
STAT2,0.0010496744220896896,61
NKX3-2,0.0010435964081504305,62
NFATC2,0.001040605507902607,63
FGF2,0.0010224061349921006,64
LHX8,0.001020306206070624,65
ZNF300,0.0010152792691466553,66
HLX,0.0010135803116649337,67
ZNF263,0.0010101417040762801,68
HDGF,0.001004609712920986,69
DAXX,0.0010023617416360746,70
FOXC1,0.0009861890530980114,71
MAX,0.0009719415826718129,72
SP1,0.0009716022255129057,73
TBXT,0.0009688289392897787,74
ELF5,0.0009677088247978342,75
TLX3,0.0009646887524771349,76
ID4,0.0009611920034330978,77
TFDP1,0.000957877481490262,78
HIPK2,0.0009575918651307802,79
ZEB2,0.0009561110428876418,80
ZNF335,0.0009525790127099754,81
FOXP2,0.0009210694256732192,82
FOXG1,0.0009200807261549926,83
NCOA6,0.0009184193335992556,84
MEF2A,0.0009075000338877241,85
NR3C2,0.000895976533350525,86
ZBTB33,0.0008936544761581899,87
HMGB2,0.0008849463950051965,88
MEF2B,0.0008791994574494311,89
TEAD1,0.000873850553095205,90
BARX1,0.0008713607747874145,91
PRDM1,0.0008651416940362348,92
NFKB1,0.0008638765513448258,93
TWIST1,0.0008487973662662777,94
USF2,0.0008478287965772325,95
PPARD,0.0008420876244505493,96
FOXE1,0.0008359820008233025,97
DMTF1,0.0008356739597426591,98
POU4F2,0.0008293093088468595,99
BCL11A,0.0008267040009741322,100
NONO,0.0008202906519121218,101
SREBF2,0.000816170575308206,102
NR2E1,0.0008115505758572301,103
FOS,0.0008110390087798199,104
RXRG,0.0007988770298576734,105
ZNF350,0.0007964893255424007,106
RXRA,0.0007946665853523882,107
SALL1,0.0007909072151051078,108
ARID4B,0.000789105190981824,109
NFATC4,0.000783874795418645,110
PHF5A,0.0007751591453901104,111
ASCL2,0.0007703828821983431,112
CEBPB,0.0007581524458127357,113
ZNF699,0.0007556188501742629,114
TBX18,0.0007496728857101213,115
BMAL2,0.000746675793304045,116
MTF1,0.0007444031507475302,117
REST,0.0007423655560463278,118
ELF2,0.0007419912782400691,119
ZNF410,0.0007393297854681198,120
HOXA13,0.0007377054735722292,121
HDAC1,0.0007375048180771652,122
MEOX1,0.0007373838667187253,123
SP3,0.000732453030529238,124
KDM5B,0.0007323608749857158,125
TBX6,0.0007288173153241928,126
KAT7,0.0007266422482492392,127
ZMYND8,0.0007113764524622942,128
TBPL1,0.00070501154499046,129
