rank,core_tf_main,mean_rank_main,core_tf_extended,mean_rank_extended
1,IRX1,4.67,IRX1,4.33
2,KLF8,9.33,KLF8,9.33
3,AEBP1,12.0,AEBP1,12.0
4,MZF1,13.0,MZF1,12.33
5,SPDEF,15.33,SPDEF,15.33
6,HIVEP1,16.33,HIVEP1,16.67
7,BCOR,22.67,BCOR,22.33
8,CREB3L1,24.0,ASXL1,24.0
9,ASXL1,24.33,CREB3L1,24.67
10,REL,25.67,PROX1,26.33
