model,global_pearson,n_drugs,median_pearson,mean_pearson,pct_gt_0.3,n_unique_predictions
Ridge_expression,0.7280927015406895,1447,0.11421089359969255,0.12300732063856282,10.642709053213546,1447
RF_TF,0.768735810332937,1447,0.12808762008975286,0.13656628080901448,14.167242570836214,1447
SAGE_learned_emb,0.7560341954231262,947,0.047664009034633636,0.048157524317502975,1.3727560718057021,947
HGT_learned_emb,0.504775881767273,947,0.0009476160630583763,0.002651620889082551,0.31678986272439286,947
