penalizer,n_drugs,n_nominal_all,n_fdr_all,hr_min_all,hr_max_all,n_nominal_top200,hr_min_top200,hr_max_top200
0.01,1447,773,678,0.0016998921580801706,245.50938054019716,105,0.257543840856431,4.3236937216387075
0.1,1447,714,623,0.008717338899967592,54.443809354498164,90,0.3837742956507827,2.6791250899571364
0.5,1447,507,306,0.13137981532112622,5.529041671068095,64,0.6690900369208902,1.5012767640659626
1.0,1447,326,87,0.3052910494915423,2.717582056869265,42,0.7911686052746928,1.2676771280152461
