drug,HR,pvalue,padj
way-600,0.4536513911782412,0.0005843020335283352,0.006454084294011459
tg-101348,0.46704134669768926,0.0005920453973218981,0.006463201359156955
vu0361737,0.7550104070577199,0.0005940606639722703,0.006463201359156955
pu-h71,0.29648160269622015,0.0006370930692558677,0.0068796542627853775
ixabepilone,0.4052104986031999,0.0006529036631596625,0.00699816000438542
nizofenone,1.4977973485559943,0.0006693416987243665,0.007121598809221753
dienogest,0.6907707605956477,0.0006908652835127138,0.0072969493813350135
pyritinol,1.4112540627377395,0.0007084508473935617,0.007375921969945585
nsc-663284,0.5028249342700053,0.0007113874333142548,0.007375921969945585
piretanide,0.7072128254486932,0.0007136344684121506,0.007375921969945585
obatoclax,0.605446529277475,0.0007746280215475134,0.007925300484260402
azd5438,0.24712053425714395,0.0007777419963821542,0.007925300484260402
abt-751,0.5044848774482743,0.0007903081013949127,0.007997033725303767
roquinimex,0.5840533089382193,0.000820629868774796,0.008246190417480068
tipranavir,0.6357186846418105,0.0008607127620591696,0.008589319770342196
difluprednate,0.7402036370342655,0.0008905318985148401,0.008826025048979272
gsk1292263,0.6368537012725398,0.0009174673537466095,0.009031124223614585
niraparib,0.5008346766232414,0.0009320625732554902,0.009112800969599285
penfluridol,0.3507502894682326,0.001000179173768576,0.009713149425792815
gamma-aminobutyric-acid,1.3404385577060114,0.0010183864607801213,0.009824034724992237
raf265,0.6640756941528166,0.0010959793788998082,0.010502530869324652
naloxone,0.8076828168956036,0.0011409002329214341,0.010861069980508653
trapidil,0.6850687065879595,0.0011900541343631687,0.01123493973028762
ibutilide,0.7023699330565708,0.001195701947798406,0.01123493973028762
nsc-319726,0.6475670129423512,0.001220994751246298,0.011398576806796085
sclareol,0.7238401462589271,0.001287433230468098,0.011916092356369536
lanatoside-c,0.41068347982275405,0.0013075687072509605,0.011916092356369536
evodiamine,0.5422559042094153,0.0013092070017270737,0.011916092356369536
atenolol-(+/-),0.642821899692084,0.0013149342126083199,0.011916092356369536
saracatinib,2.011133431263473,0.0013176052363642887,0.011916092356369536
mebendazole,0.4028309657941248,0.0013528892637187126,0.012108324730747685
baicalein,1.4033440117567033,0.0013586658741308881,0.012108324730747685
rita,0.7837651585072071,0.001363964707057272,0.012108324730747685
iododexetimide,0.7070597630805622,0.001391136680087122,0.01227423643954918
entinostat,1.705871431727159,0.001426762082105528,0.012512271107919387
mycophenolate-mofetil,0.6642623480305294,0.0016181265624582095,0.014048424959807515
pi-828,0.6272016270184612,0.00162134552058594,0.014048424959807515
cct128930,0.6967203640551101,0.0016835374471092712,0.014431753612337016
trametinib,1.3444625473527265,0.0016855330756634108,0.014431753612337016
osimertinib,2.094299778809132,0.0017298498887704063,0.014717483576285143
halcinonide,0.8459164591164614,0.0017392465041774425,0.014717483576285143
plinabulin,0.48348881366769514,0.0018040328640198692,0.015176950896725296
nvp-bhg712,0.7215445643836309,0.0018714590486244673,0.015653186377801182
bibx-1382,0.7272388621718994,0.0019138866340638336,0.015916057238450385
gossypol,0.17316839662871494,0.0019446198612200914,0.016008050259508525
kpt-185,0.5266700822570015,0.0019470745305276438,0.016008050259508525
efonidipine-monoethanolate,0.6309835035064603,0.0020760234232761426,0.01697178470892982
mk-8745,0.5716658001662996,0.0020887081445677305,0.016979554411177
jk-184,0.5249090252234206,0.0021812421417182386,0.01763272278807984
tame,0.7612477366799638,0.002221192121107212,0.01785591666245631
fenbendazole,0.6719235178720625,0.0022685654481036247,0.018108744815678642
betamethasone-dipropionate,0.7846408508011299,0.0022871990361742205,0.018108744815678642
nocodazole,0.5182728846288596,0.0022901868011535533,0.018108744815678642
at13387,0.621225245404339,0.00234331219962402,0.018428112787260635
pirenperone,0.48494512025666586,0.0023959362050009893,0.01874010642506179
lacitol,0.7870719003717424,0.0024580508624233157,0.01899817166922972
tosedostat,0.6294025144721965,0.0024583981597122036,0.01899817166922972
pf-05212384,0.3718508610227717,0.0024683180883311594,0.01899817166922972
su3327,0.5541893330629047,0.002530556443563369,0.019374154358921664
cefditoren-pivoxil,1.5606160368053936,0.0025986226664403422,0.019790563149153555
mesoridazine,0.7090020609008056,0.002712560068426194,0.020550127848234047
thiomersal,0.43015374820733465,0.002768580055652763,0.02086528823192473
zardaverine,0.5388549671308683,0.0030325425675578025,0.022626368468771706
letrozole,0.7348234968195019,0.003033528322696414,0.022626368468771706
pyroxamide,0.629754620619014,0.003060747535770126,0.022712316329535246
biib021,0.605315051108868,0.0030983399575143346,0.02287396897205736
tacedinaline,3.1290792966331984,0.003161671264273077,0.02322303715433067
norfloxacin,0.7378940387614925,0.003254551970486937,0.02378452879441716
doxifluridine,0.6203644516271023,0.0033021134599842154,0.02401084510852844
tozasertib,0.6372070170251745,0.003330836639261303,0.02409860308505553
mk-5108,0.5516944340307224,0.0033561821073698735,0.02416117168837914
imiquimod,4.728512708706384,0.003455566452144198,0.024753488397290368
phenylbutazone,0.750590982832141,0.003507110382856512,0.02499895923149445
ac-264613,0.6848794982143439,0.00353376266531965,0.025064889345380936
rociletinib,2.6594107704440444,0.003551003673671798,0.025064889345380936
sb-366791,1.4802028271092287,0.0036317122815748403,0.025510134327372785
acetazolamide,1.3760791556405634,0.0036515814758936813,0.02552578935081235
clonazepam,0.5372469878947472,0.003682600924210509,0.025618863160252917
cyproterone-acetate,0.5937919106553335,0.0037148840797060732,0.02571979551834779
lestaurtinib,1.6689867944999295,0.0037345983576966622,0.025733161064700336
embelin,0.8144518844553215,0.003776327943253619,0.025897376937857756
pf-477736,0.6627222698900176,0.003908058059973688,0.026674339682933618
pf-04457845,0.6362883151450832,0.004048601478159449,0.027503879525336727
albendazole,0.6864269643631403,0.00420862540281477,0.028457387653612016
triapine,0.6452709782331095,0.004238862517061497,0.02852853052180459
azacitidine,0.7305772475691603,0.004299513128170698,0.028802756928069443
brilliant-green,0.421946141260485,0.004324206665154912,0.028834686840917775
pyrimethamine,0.6642570700548543,0.004495141995203705,0.029837020491099826
naftidrofuryl,1.3846084983265745,0.0045444755875438045,0.03002674052591728
oxymatrine,0.7273747820917699,0.004576959637161716,0.030103911795331832
tivantinib,0.5848567871696437,0.0046377665901545856,0.030365829212460112
bisindolylmaleimide-ix,0.3805749330578802,0.004686630554605413,0.030417816807481343
fosbretabulin,0.6087018699868281,0.004693876302294262,0.030417816807481343
streptozotocin,0.8089296667326977,0.004708770535505059,0.030417816807481343
bekanamycin,0.7721275684027019,0.0047365371983327095,0.03046119700438858
camptothecin,0.7880439751107866,0.004851070837413626,0.03093784716367151
gw-843682x,0.5678783682164447,0.00485341486258012,0.03093784716367151
torasemide,0.7471543790707232,0.004877854403614656,0.030957260184343888
gdc-0349,0.4909546580681976,0.004929545285857744,0.031148698815005045
tedizolid,0.6325798861774056,0.004967657641882564,0.031253046120887265
bromosporine,0.8040851546359205,0.005253455166100583,0.032685269036008324
napabucasin,0.6422313730723607,0.005275828713463871,0.032685269036008324
prednisolone-hemisuccinate,0.8710118032450261,0.005281301045622296,0.032685269036008324
ban-orl-24,1.355504131470261,0.005285662027937767,0.032685269036008324
5-hydroxymethyl-tolterodine,0.6634011822669938,0.005315556925672503,0.03273025902743877
a-674563,0.4218353128796312,0.005460471255960205,0.0334800928278577
anguidine,0.5473307804558647,0.00549579007822118,0.033554465161122565
acetylcysteine,1.4248499520684206,0.005550074185598839,0.03374351826286352
bms-690514,1.5530339523078769,0.0055849571008193466,0.03380914449288602
dasatinib,1.3055543213072325,0.005607598257285864,0.03380914449288602
narasin,0.6468308538883254,0.005998387868278309,0.036015216785886775
nvp-auy922,0.6646539557426052,0.0060757851674313225,0.036203116202895895
flumethasone,0.8620369766864019,0.006079721656740637,0.036203116202895895
bw-180c,1.405908580420485,0.006163346826689456,0.03655066745171985
tas-103,0.5691654918732774,0.006347373835386708,0.03748836710124313
piperine,0.6783888590823872,0.00639190348487054,0.0375979038317385
acetylsalicylsalicylic-acid,0.7199134455744843,0.0064345889900596035,0.03769575007536942
bexarotene,0.499565018585954,0.0066958421944128595,0.039038020821704315
ccmi,0.7583150751386344,0.006728756546944424,0.039038020821704315
pelitinib,1.563141433639197,0.00674464768861512,0.039038020821704315
way-170523,0.7545078413879026,0.006772783127367594,0.039044689981278524
toremifene,0.6575349389975963,0.006876552319801367,0.03940684688021205
acdpp,0.776057960432243,0.006915654880453487,0.03940684688021205
mexiletine,0.5662786037443819,0.006917304151744203,0.03940684688021205
dinaciclib,0.6436552903875089,0.006956979731677245,0.039477449693086177
hypoestoxide,0.6403534439744462,0.007040101002755282,0.039708273868406224
