target,n_sig,n_total,pct_sig,odds_ratio,pvalue,padj
TUBB,22,24,91.66666666666667,18.589792060491494,5.2507244920459904e-08,1.7327390823751768e-05
TUBB1,9,9,100.0,inf,0.00016160383738446585,0.026664633168436865
TUBA1A,8,8,100.0,inf,0.0004282650497168441,0.03533186660163964
TUBA4A,8,8,100.0,inf,0.0004282650497168441,0.03533186660163964
AKT3,6,6,100.0,inf,0.0029973931083528073,0.1978279451512853
TUBB4B,7,8,87.5,11.516544117647058,0.006071286881279965,0.23748576166179935
TUBA3C,5,5,100.0,inf,0.007916192055393312,0.23748576166179935
TUBA1B,5,5,100.0,inf,0.007916192055393312,0.23748576166179935
TUBB4A,5,5,100.0,inf,0.007916192055393312,0.23748576166179935
TUBB3,5,5,100.0,inf,0.007916192055393312,0.23748576166179935
TUBA1C,5,5,100.0,inf,0.007916192055393312,0.23748576166179935
AKT1,9,12,75.0,4.942804428044281,0.010332188831421568,0.27938569576699523
MTOR,19,32,59.375,2.4258241758241756,0.011006103166578601,0.27938569576699523
AKT2,6,7,85.71428571428571,9.853211009174313,0.01417989508649624,0.3342403841816971
HSP90AA1,7,9,77.77777777777777,5.751838235294118,0.01835534934644431,0.40381768562177484
RARB,4,4,100.0,inf,0.020883117250333726,0.4307142932881331
OPRK1,6,8,75.0,4.921100917431192,0.03850571970214507,0.6725617080379175
NR3C1,15,27,55.55555555555556,2.0615671641791047,0.047487738336887235,0.6725617080379175
SLC7A11,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
TUBA3D,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
TUBA3E,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
TUBB2B,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
DHFR,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
TUBB2A,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
XPO1,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
TUBB8,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
TUBB6,3,3,100.0,inf,0.055027776112193255,0.6725617080379175
MAOA,4,5,80.0,6.544789762340036,0.07275081803009541,0.857420355354696
PLK1,5,7,71.42857142857143,4.093406593406593,0.0783359160508448,0.8668710645490125
NR1I2,6,9,66.66666666666667,3.2770642201834863,0.0788064604135466,0.8668710645490125
PIK3CA,11,21,52.38095238095238,1.8048148148148149,0.12923055563858796,1.0
OPRD1,5,8,62.5,2.725885225885226,0.14471957663201104,1.0
TNF,5,8,62.5,2.725885225885226,0.14471957663201104,1.0
IMPDH1,5,8,62.5,2.725885225885226,0.14471957663201104,1.0
OPRM1,5,8,62.5,2.725885225885226,0.14471957663201104,1.0
PLA2G1B,4,6,66.66666666666667,3.2687385740402193,0.1532320805090945,1.0
CYP3A5,4,6,66.66666666666667,3.2687385740402193,0.1532320805090945,1.0
PPARA,4,6,66.66666666666667,3.2687385740402193,0.1532320805090945,1.0
CHUK,3,4,75.0,4.899635036496351,0.15746175269777185,1.0
HCK,3,4,75.0,4.899635036496351,0.15746175269777185,1.0
RARA,3,4,75.0,4.899635036496351,0.15746175269777185,1.0
CACNA1G,3,4,75.0,4.899635036496351,0.15746175269777185,1.0
MAOB,3,4,75.0,4.899635036496351,0.15746175269777185,1.0
