drug,n_samples,pearson_r,spearman_r,rmse
ciclesonide,86,0.22797000111048787,0.16873437426293691,0.2982333185448002
ciclopirox,91,0.2270760766521152,0.08436056696926263,0.17308163064032273
cid-5458317,95,0.18900132021285176,0.35957446808510635,0.08950132864720667
cidofovir,82,-0.04285979114457097,0.035622163450550165,0.20962561170103436
cilostamide,89,0.14275287151268898,0.07672795369424584,0.19495518007441043
cimetidine,83,0.03887450542287208,0.01935267201209017,0.1748088281015531
cinacalcet,87,0.12171477282440868,0.12177688827637448,0.06428809606926547
cinalukast,83,0.04532828629548404,0.030645228999622177,0.17258323838219825
cinnarazine,82,-0.04781148409221837,-0.10109815957597328,0.20753761228282244
cinromide,80,-0.04288512644736893,-0.0008673230192217535,0.17219033088836774
ciprofibrate,84,0.10887222219015356,0.16774324187506331,0.25350962394857873
cisplatin,92,-0.029296185653566953,0.017878334848881832,0.251746254991991
cl-218872,87,0.15726508307993028,0.14562222060217245,0.1596490023878626
cladribine,62,-0.03642493515660688,0.013421973760419027,0.16260843553117282
clebopride,56,-0.10255239483645344,-0.07956254272043747,0.2624337168180931
clenbuterol,84,0.11110708445097929,0.0956768249468462,0.19626634723005829
clindamycin-phosphate,81,0.17001515928382638,0.16910569105691056,0.16164543087375421
clobetasol-propionate,84,0.2787131803857657,0.32155512807532655,0.32511399333571517
clobutinol,69,0.10591562314867389,0.11037632444282063,0.3459248391101374
clocortolone-pivalate,43,0.35684003517203317,0.40712775596496525,0.19017849354673788
clofarabine,91,0.2519544264543413,0.364022933588151,0.11919713984450749
clofazimine,90,0.19406133174729967,0.1824505082932049,0.1872059326345494
clofibrate,72,-0.09212616889653003,-0.09248183162904368,0.21841881094390306
clofoctol,86,-0.0020275139561212767,0.0005188924005849332,0.12701540863169147
clomifene,92,0.3213939217328824,0.3075381841160242,0.14453986454450957
clonazepam,93,0.1581965064752746,0.16579630569066872,0.09800310861360464
clopamide,86,-0.08221353110195728,-0.08693806311618472,0.2747122064148673
clotrimazole,90,0.030522353156111195,0.025558710951969377,0.23654651201557259
cmpd-1,94,0.07958382201510579,0.09489578441642885,0.1393489831485597
cnx-2006,87,-0.11507789086898843,-0.03601370562076255,0.2247724451296146
cnx-774,87,0.33431000811291883,0.4529598308668076,0.23587510265892286
cobicistat,86,0.04900429415924126,-0.056370583518090475,0.24678161460700318
cobimetinib,86,0.6874115146138587,0.6198940668390086,0.13962082446629848
colchicine,87,0.10017273635193101,0.2038164321644674,0.17245195094483629
colforsin-daproate,87,0.12476865957730884,0.014835605453087406,0.2368014518139699
colfosceril-palmitate,81,0.15736923808935932,0.14191508581752485,0.18133913942910196
colistin-b-sulfate,66,-0.09300161769723736,-0.051790001043732395,0.36599663966488755
combretastatin-a-4,93,0.14571391923091082,0.19084778132553487,0.24217216652769885
costunolide,87,0.05775497618798861,0.04877159728803674,0.23984732938988895
cp-673451,91,0.228863101959005,0.2954769867813346,0.3445509514250807
cp-724714,79,0.1987804424502117,0.13337285001698504,0.0673616267960072
"cp-945,598",91,0.030328516360363707,0.053209109730848865,0.1725307913469304
cpi-1189,90,0.10993180518014305,0.13182697452360373,0.20571995632965318
cpp,91,-0.040914191550176573,0.03237776716037586,0.21550822050652307
cr8-(r),95,0.28371279942357513,0.27403415453527435,0.06857822702518415
creatine,83,-0.005699530494870713,-0.034654296629024806,0.2770768184292647
crenolanib,95,0.24864670183046986,0.25270156774916014,0.08274282464051398
crizotinib,94,0.08753534154276217,0.09690169214304876,0.12148896063669674
crizotinib-(s),88,-0.09728919308408267,-0.10501567398119124,0.06288206611935655
cromakalim,45,-0.25333086908978125,-0.2799736495388669,0.2759456382656732
crystal-violet,84,0.34195288295806486,0.29152576693327936,0.1439873658745289
cs-110266,82,0.23917445783854815,0.2612836168522328,0.2209768375128927
cudc-101,36,0.04951528834369643,0.04221364221364222,0.23058033190111155
cudc-907,93,0.13810669351189397,0.13940198740712004,0.0756798175962942
curcumin,91,0.14658016819492026,0.13236184105749324,0.06119975204430188
cx-4945,74,0.17627435911539338,0.15628285820066637,0.25792433745233323
cx-5461,93,-0.0834754303174716,0.04458237593625973,0.15376440260423674
cyc116,88,-0.04422598191837185,-0.012644852241907647,0.27889427619116325
cyclocytidine,92,0.24817268859645966,0.36707612163432635,0.16725438165498965
cycloheximide,90,0.12425359771004478,0.230785693707042,0.1488230395624032
cyclophosphamide,59,-0.2140175593803864,-0.09929865575686735,0.21821701472067395
cyclosporin-a,81,-0.12327882909803697,-0.1273261065943993,0.2207064062146112
cyclosporine,87,0.17346444790566196,0.18741342859225776,0.1298965905301289
cyclovalone,91,0.17781770641140163,0.1158464723682115,0.06295001926731199
cyclovirobuxin-d,81,0.17945257000670214,0.10182926829268292,0.16300264910710616
cyproheptadine,90,0.08663174549997057,0.06139852656706589,0.16685119575209237
cyproterone-acetate,72,0.1653981706721819,0.10364343832737737,0.1240742793021959
cyromazine,82,0.05977212523820909,0.03213939769919788,0.20706492072424124
cyt-997,92,0.26284110556222384,0.3526655672518225,0.17571330410964683
cyt387,84,0.11506356721033027,0.08333268399096484,0.0757895942699079
cytarabine,80,0.0421787626991542,0.08706047819971871,0.16558285518256216
cytochalasin-b,94,0.053130029006423496,0.12860600368457176,0.1304709843679893
cytochlor,92,0.0760419107517014,0.10474238244224218,0.21081546015919214
d-4476,78,0.011236611319284504,-0.02166188242137609,0.21286576068497828
d-64131,76,0.11421089359969255,0.1849624060150376,0.16823438671806717
d-7193,93,0.22639773161882074,0.22273283399480762,0.158436564386429
d-serine,67,0.05350016638795587,0.12874132013728154,0.21042514125258585
dabrafenib,93,0.2501108227765235,0.2575066627425693,0.3528116536633225
dacarbazine,89,0.1300420242558623,0.15553357010974772,0.09847897794609475
dacinostat,91,0.23950326775915576,0.28926580665711105,0.07174496090427719
daclatasvir,80,-0.09545526018844874,-0.056821378340365686,0.2551494401621676
dacomitinib,88,0.4698937791977145,0.45882121519497554,0.1276801894212775
dalcetrapib,83,0.16838113621901044,0.17484572436085805,0.1780485033811556
danazol,85,0.33242376164509396,0.34725425053742426,0.22990976328154933
danusertib,94,0.41003504063068846,0.4596972871437344,0.142315594229724
dapivirine,89,-0.05843809305457783,-0.15854613551242766,0.11092178767084483
darapladib,89,-0.10005662953924334,-0.04170922710248553,0.130788419631139
darifenacin,90,-0.030317075520710883,0.028209243939581016,0.23385906077045604
dasatinib,89,0.5524157224768589,0.5495712845483587,0.16530593921431816
daunorubicin,93,0.2013032993211584,0.18506745867155222,0.18659780396687561
dcebio,87,0.021493257145803635,0.13853247794707296,0.14665275692540652
decitabine,93,0.19423760857351424,0.23294729777915213,0.14043720953388322
defactinib,73,-0.16466940714958592,-0.10761446377884736,0.22703421714731303
deferasirox,90,0.13412810348124368,0.06395028192781001,0.275438532444307
deflazacort,87,0.08772811792173763,0.09717868338557993,0.26394026672023
deforolimus,92,0.32372639127446684,0.3094955535348242,0.24932460080011506
dehydrocholate-acid,77,0.05763267400095683,0.07205951942794048,0.22788305021253427
delanzomib,95,0.016762690362696658,0.09979003359462485,0.08317782108729625
demecarium,81,0.07727616552588569,0.03206865401987353,0.2012209752922062
deoxycorticosterone-acetate,91,0.07779299726603058,0.25785953177257526,0.1877386352460795
