drug,fisher_p,mean_HR,n_cohorts,pvals,fisher_padj
12-o-tetradecanoylphorbol-13-acetate,0.24262380296475206,0.9424268712740532,3,"[np.float64(0.8698150526485434), np.float64(0.02839432061780054), np.float64(0.76464563107232)]",0.3626824823243763
acipimox,0.24646544430604045,1.0703143848667835,3,"[np.float64(0.12502238053871406), np.float64(0.21263510032237418), np.float64(0.7288513658128233)]",0.3680448894848716
chlorogenic-acid,0.24698954208098778,0.6943987944521088,3,"[np.float64(0.21080494918729528), np.float64(0.375998893020385), np.float64(0.24530343933071563)]",0.36844728597029824
xylazine,0.24853291395338972,0.8849578783926871,3,"[np.float64(0.021761313052652484), np.float64(0.9056907963027687), np.float64(0.996633942469648)]",0.37036779247225016
lafutidine,0.2519715414992205,0.893165092182284,3,"[np.float64(0.062325422101852324), np.float64(0.3662401327903251), np.float64(0.8801566525846868)]",0.37510578245820175
nitrocaramiphen,0.25374106495819015,1.2452987724575213,3,"[np.float64(0.09532238343041596), np.float64(0.22699954188951207), np.float64(0.9392208126193532)]",0.37735182013823343
nms-e973,0.2555629230814863,0.5116972741732556,3,"[np.float64(0.4707172425279781), np.float64(0.08957808188230915), np.float64(0.48768665491716634)]",0.3796709955840972
saxagliptin,0.25635712115472487,0.9219509524592061,3,"[np.float64(0.6607235198150359), np.float64(0.13541107854304815), np.float64(0.23101995275192233)]",0.38046026083167883
etofylline-clofibrate,0.2568082258814808,1.0733072040444278,3,"[np.float64(0.06833148115086224), np.float64(0.4699487208897706), np.float64(0.645522033333603)]",0.3807392447238757
spironolactone,0.2574041969381047,1.4400301089419536,3,"[np.float64(0.14517519843053173), np.float64(0.18910378843500208), np.float64(0.7579668712578039)]",0.38123221388888173
balapiravir,0.2580311481559555,0.8044339018028251,3,"[np.float64(0.09232656444677304), np.float64(0.45914456582897667), np.float64(0.4928449075478386)]",0.38177001163769697
estramustine,0.2583506968512026,0.6344457389380836,3,"[np.float64(0.03246082212321124), np.float64(0.7185470473467508), np.float64(0.8975507640687518)]",0.38185235785872335
mk-3207,0.25913097195901447,0.6950735575192708,3,"[np.float64(0.1337978997918323), np.float64(0.3089823065588333), np.float64(0.5089251300713895)]",0.38233168860524525
rg2833,0.2592034461103978,0.8445299597318016,3,"[np.float64(0.32667509785287785), np.float64(0.25714039597329275), np.float64(0.2505827164641374)]",0.38233168860524525
ru-58841,0.25973685379410494,0.9100800702507665,3,"[np.float64(0.7348497525887298), np.float64(0.03678333965303048), np.float64(0.7813815078830997)]",0.3827283375153461
estramustine-phosphate,0.2611502613785208,1.0897787639972596,3,"[np.float64(0.13214502174559242), np.float64(0.2407809711989176), np.float64(0.6697884943483092)]",0.3843787829572995
caffeic-acid-phenethyl-ester,0.26140891238216635,1.2049609078961165,3,"[np.float64(0.1634470308935705), np.float64(0.15639737383775076), np.float64(0.8350560668458591)]",0.3843787829572995
nicorandil,0.2616538363600138,0.6285782151368637,3,"[np.float64(0.6716900486975357), np.float64(0.4632094665290424), np.float64(0.0687145946058353)]",0.3843787829572995
ha14-1,0.26251499280893853,0.5080214698621004,3,"[np.float64(0.24492016517568435), np.float64(0.36383544911824395), np.float64(0.2412285992562329)]",0.385252732854497
romidepsin,0.2658603670420765,1.0003564186291003,3,"[np.float64(0.3041910919027469), np.float64(0.0858636840929228), np.float64(0.8404737391371777)]",0.3897669210839764
xbd173,0.26707223659000845,0.8027029519638863,3,"[np.float64(0.4550868009009341), np.float64(0.3480860579372934), np.float64(0.13963081447153794)]",0.3911472938722087
bibu-1361,0.2686904125896321,1.1460508958273656,3,"[np.float64(0.23873486549693065), np.float64(0.4450639463790246), np.float64(0.21027513564885955)]",0.39311933975449714
bosentan,0.26897423547171906,1.1036474594119505,3,"[np.float64(0.24185741555732898), np.float64(0.18233760961591855), np.float64(0.5075207711782925)]",0.3931370896238156
k-strophanthidin,0.27043535947003683,0.6116336542119051,3,"[np.float64(0.7256347422007896), np.float64(0.0362253122014848), np.float64(0.8591692914468652)]",0.3948738296197208
az-628,0.27167791864457635,0.8658686311538706,3,"[np.float64(0.24560626761590154), np.float64(0.3177475539642649), np.float64(0.2916133192289999)]",0.3960121659236882
