drug,fisher_p,mean_HR,n_cohorts,pvals,fisher_padj
pardoprunox,0.0,0.2458641649618755,3,"[np.float64(1.8997861970575815e-19), np.float64(4.1705474224781434e-05), np.float64(0.5276355272225577)]",0.0
litronesib,6.661338147750939e-15,0.4037140005048693,3,"[np.float64(4.5839017375324935e-15), np.float64(0.009742540613858052), np.float64(0.18420890914872098)]",4.337530334908024e-12
uprosertib,8.992806499463768e-15,0.12972047418405896,3,"[np.float64(3.198276677552922e-13), np.float64(0.00014563756535190402), np.float64(0.2418951118240828)]",4.337530334908024e-12
tyrphostin-ag-1296,8.004708007547379e-14,0.2670855947300873,3,"[np.float64(2.065019787068195e-14), np.float64(0.017317296452561155), np.float64(0.31433999022252335)]",2.8957031217302642e-11
vinblastine,9.502398867766715e-13,0.32523593369684645,3,"[np.float64(1.287234945199671e-13), np.float64(0.17111332997673567), np.float64(0.06995261590263846)]",2.749994232331687e-10
brivaracetam,1.454392162258955e-12,0.3320824444563667,3,"[np.float64(4.2239203619911687e-13), np.float64(0.010223295431984988), np.float64(0.5604104480836591)]",3.5075090979811796e-10
selinexor,2.832289958121237e-12,0.1297810394658502,3,"[np.float64(3.322631386969347e-11), np.float64(0.0006661346661218842), np.float64(0.22188502687753844)]",5.854747956287757e-10
bnc105,4.666267372499533e-12,0.3839557785265825,3,"[np.float64(1.9738926450695093e-12), np.float64(0.01757523714832222), np.float64(0.24069140524862567)]",8.44011111000853e-10
securinine,5.431322058768728e-12,0.47642092806675534,3,"[np.float64(3.0443347402894284e-12), np.float64(0.019432920932052844), np.float64(0.16588161610909524)]",8.73235891004261e-10
mebendazole,1.0382361637084614e-11,0.07114267554469555,3,"[np.float64(3.308873609512468e-06), np.float64(3.159873343704023e-08), np.float64(0.18709427136055012)]",1.3301388964629486e-09
nizofenone,1.0822343021743563e-11,2.079649472418497,3,"[np.float64(9.707364289370539e-08), np.float64(2.2846595138975965e-07), np.float64(0.9219100552718051)]",1.3301388964629486e-09
primaquine,1.122690829191697e-11,0.28818596417865616,3,"[np.float64(5.662431712731188e-08), np.float64(2.372482684936466e-05), np.float64(0.015826736851884782)]",1.3301388964629486e-09
sirolimus,1.1950107570157797e-11,0.2772431070660865,3,"[np.float64(2.6897607257264297e-10), np.float64(0.0038102609530562184), np.float64(0.022172717348713553)]",1.3301388964629486e-09
vinflunine,1.9283463714714344e-11,0.24453977487281495,3,"[np.float64(4.519923597905287e-12), np.float64(0.09796658645933659), np.float64(0.08547889656178317)]",1.993083713942261e-09
digoxin,2.6199042935104444e-11,0.0265378265662347,3,"[np.float64(3.1858673878204862e-09), np.float64(0.0004968391440293255), np.float64(0.03316381316321956)]",2.446246621934378e-09
dolastatin-10,2.7049029682757464e-11,0.28878735579894305,3,"[np.float64(3.9107327716187246e-12), np.float64(0.07475020158831397), np.float64(0.18579861768472772)]",2.446246621934378e-09
naloxone,3.174893681290314e-11,0.4726811539050156,3,"[np.float64(4.932903343721332e-06), np.float64(2.8809670857788337e-07), np.float64(0.04534888696395642)]",2.702394798133579e-09
cpp,4.762024108373453e-11,2.5711120034724364,3,"[np.float64(1.0216151307590342e-09), np.float64(0.0002654343604017066), np.float64(0.36651338661169264)]",3.8281382693424364e-09
indibulin,6.748357428421059e-11,0.242370398044819,3,"[np.float64(3.5494088696966254e-11), np.float64(0.005316722529679596), np.float64(0.7646468200788129)]",5.139406946802775e-09
ispinesib,7.749201280660145e-11,0.5538777556051673,3,"[np.float64(5.746177578445593e-12), np.float64(0.10389105370568227), np.float64(0.2802681051105843)]",5.606547126557614e-09
acetophenazine,8.800538076059183e-11,0.3124161782779733,3,"[np.float64(0.00024279710489300783), np.float64(1.3248546533958902e-08), np.float64(0.05960252423980643)]",6.063989807646494e-09
verubulin,1.3743561844137275e-10,0.3961313673919663,3,"[np.float64(4.6661332257305676e-12), np.float64(0.2608747573551766), np.float64(0.25390250497890926)]",9.039515449303016e-09
epz-5676,1.7703738475205455e-10,0.4068446151418148,3,"[np.float64(2.7726752661519755e-11), np.float64(0.13352488582297783), np.float64(0.10952160742659782)]",1.0880253059619704e-08
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine,1.8046031335927637e-10,0.669437564287853,3,"[np.float64(9.64301795584122e-12), np.float64(0.05195507229444375), np.float64(0.8261145199486208)]",1.0880253059619704e-08
demecarium,1.9912949067446561e-10,0.3791130841323339,3,"[np.float64(9.232780464263779e-10), np.float64(0.0030449713325458637), np.float64(0.1636173827087039)]",1.152561492023807e-08
kw-2478,2.9328073303247493e-10,0.30327274446554114,3,"[np.float64(2.936833929674774e-07), np.float64(3.1868741797605123e-06), np.float64(0.7447273695789443)]",1.6322200796076586e-08
fr-139317,3.7632008620391844e-10,0.48536436701451463,3,"[np.float64(2.1242481845628914e-12), np.float64(0.9573768936721059), np.float64(0.4480017469330808)]",2.0167969064335927e-08
brigatinib,4.942134479435367e-10,2.6369623050508078,3,"[np.float64(1.7005862672486403e-07), np.float64(8.031246194598448e-06), np.float64(0.8942074796732664)]",2.5377870697616295e-08
daunorubicin,5.086097099038511e-10,0.5549663283381664,3,"[np.float64(1.2592201516284166e-11), np.float64(0.10962167787008903), np.float64(0.9125040918073033)]",2.5377870697616295e-08
tivozanib,6.691924792079362e-10,0.13839733257658757,3,"[np.float64(6.330221553255271e-10), np.float64(0.025009046611079108), np.float64(0.10689308434170863)]",3.227738391379612e-08
ly2606368,7.066121021637173e-10,0.41186760968913533,3,"[np.float64(3.4577432569980883e-10), np.float64(0.011297031619472682), np.float64(0.45935506244086177)]",3.238235117426895e-08
mexeneone,7.229841170186546e-10,0.6113703009925726,3,"[np.float64(5.77047124841189e-12), np.float64(0.4282237805690484), np.float64(0.7442766198169406)]",3.238235117426895e-08
podophyllotoxin,7.385055900144266e-10,0.1680811280553386,3,"[np.float64(9.675356890430148e-09), np.float64(0.009751188067153777), np.float64(0.019944601336564075)]",3.238235117426895e-08
vinorelbine,7.807723356734186e-10,0.3189501949128279,3,"[np.float64(3.1108250018260485e-09), np.float64(0.000977974364211784), np.float64(0.656714178244069)]",3.322875205057167e-08
bms-265246,9.3072571871744e-10,0.4711669039715798,3,"[np.float64(1.5074887852147361e-10), np.float64(0.04752677930376926), np.float64(0.33696164123307226)]",3.8478860428118164e-08
emetine,1.0952206919156993e-09,0.11915266763082846,3,"[np.float64(6.273240241950417e-11), np.float64(0.24323078313007762), np.float64(0.18855724601067145)]",4.402178725561158e-08
pki-179,1.296116436400041e-09,0.10808608413687341,3,"[np.float64(6.467961781666325e-10), np.float64(0.058576177589802624), np.float64(0.09106255088538484)]",5.068866171542863e-08
isometheptene-mucate,2.067411797312957e-09,1.838594106833878,3,"[np.float64(6.367256945961827e-11), np.float64(0.17810874844577335), np.float64(0.503596175401491)]",7.872486501873286e-08
combretastatin-a-4,2.7682759418112823e-09,0.6106413693559123,3,"[np.float64(1.5814874583077653e-10), np.float64(0.1377098723157716), np.float64(0.35950855055698794)]",1.0271013558463912e-07
clobutinol,3.343094578944772e-09,1.7433164342709506,3,"[np.float64(3.265711756309004e-10), np.float64(0.10280457306099994), np.float64(0.2860062900783523)]",1.1190097480780115e-07
2-methoxyestradiol,3.377377821855987e-09,0.17025027037614124,3,"[np.float64(7.554107607027261e-10), np.float64(0.04157266712549776), np.float64(0.3091498076985406)]",1.1190097480780115e-07
ve-822,3.3920987130287017e-09,0.2430556832267141,3,"[np.float64(1.568556915426362e-08), np.float64(0.00554479132685937), np.float64(0.11215489813616127)]",1.1190097480780115e-07
eprobemide,3.393482161939687e-09,0.4649142411368691,3,"[np.float64(2.356819123012407e-05), np.float64(1.2140017985861106e-05), np.float64(0.03410749013531264)]",1.1190097480780115e-07
zolantidine,3.4157990880245848e-09,1.4184362514247788,3,"[np.float64(4.3523558961648005e-11), np.float64(0.27216085548093427), np.float64(0.8297083990225054)]",1.1190097480780115e-07
golgicide-a,3.5306169099413864e-09,2.1402157027953916,3,"[np.float64(1.9794880641562163e-09), np.float64(0.007573487023025524), np.float64(0.6794595632946747)]",1.1190097480780115e-07
sb-239063,3.598049636011069e-09,0.4423160384570974,3,"[np.float64(4.315547269135127e-09), np.float64(0.0028460486898404147), np.float64(0.8464980261299029)]",1.1190097480780115e-07
rutin,3.63465502140059e-09,0.49700340964778233,3,"[np.float64(6.348560816123902e-09), np.float64(0.004171287601141838), np.float64(0.3969321321235666)]",1.1190097480780115e-07
parbendazole,4.3508202596242995e-09,0.28805721726294276,3,"[np.float64(5.395595525896703e-09), np.float64(0.014765103272491312), np.float64(0.16030379753012952)]",1.3115910240992418e-07
latrepirdine,5.1058517414048765e-09,1.8188081528818985,3,"[np.float64(4.2745621879488516e-11), np.float64(0.6790060156593569), np.float64(0.5232802500928806)]",1.5077892795536441e-07
xl888,5.974401084962722e-09,0.15349885346984837,3,"[np.float64(3.952490389815976e-05), np.float64(1.5730011038345378e-06), np.float64(0.2896301971046078)]",1.7289916739882116e-07
vincristine,6.543855346485827e-09,0.6565232021477112,3,"[np.float64(2.423205365864993e-10), np.float64(0.22416722133201378), np.float64(0.3658921904595467)]",1.85665856595392e-07
temazepam,8.532285766804648e-09,1.5546291455645584,3,"[np.float64(1.2519426278101657e-09), np.float64(0.047918048200405794), np.float64(0.44183014776769347)]",2.3742725970319856e-07
bosutinib,1.0054746479859489e-08,0.5941706637183302,3,"[np.float64(1.6867663428070254e-10), np.float64(0.5029720301476892), np.float64(0.37339240248541317)]",2.745135501199374e-07
gsk923295,1.7328221857404458e-08,0.31833733845901874,3,"[np.float64(1.2904561771074152e-07), np.float64(0.004780579937841856), np.float64(0.09280072751548277)]",4.6433216717896763e-07
fenbendazole,1.794427173518187e-08,0.37774782826253317,3,"[np.float64(7.759095825606869e-06), np.float64(4.641721422648408e-05), np.float64(0.1651198187403442)]",4.7209747637833034e-07
azd6482,1.8763256948162166e-08,0.3955363423843323,3,"[np.float64(1.7131643830406969e-09), np.float64(0.048022013911953064), np.float64(0.758840520987583)]",4.848291572141188e-07
rigosertib,2.1208420464269295e-08,0.4301443344118439,3,"[np.float64(1.7222043976950803e-09), np.float64(0.4938891373096873), np.float64(0.0838708062799677)]",5.383962177508363e-07
fudosteine,2.5502584377612436e-08,2.3103613799246925,3,"[np.float64(6.416850484486077e-09), np.float64(0.026809907341432862), np.float64(0.5069486388706731)]",6.362455102483654e-07
trovafloxacin,2.800694320903574e-08,0.44802633875200626,3,"[np.float64(2.1986824291574434e-06), np.float64(9.705304405420017e-05), np.float64(0.4526513436112717)]",6.868821495504189e-07
ly2603618,2.8762531356640864e-08,0.24602164229445322,3,"[np.float64(3.827321888646789e-09), np.float64(0.05934710919179055), np.float64(0.43777321390192503)]",6.936563812176555e-07
cct128930,3.806194281974484e-08,0.343286709126778,3,"[np.float64(1.4804561804913292e-06), np.float64(0.003324414616283293), np.float64(0.027428209582296418)]",9.028792009864064e-07
pentamidine,4.110299300918996e-08,0.39468144919389214,3,"[np.float64(0.0711068404359124), np.float64(2.473266858301144e-08), np.float64(0.08347979538974179)]",9.592908207144818e-07
wp1066,4.316491108991016e-08,48.474206576165386,3,"[np.float64(1.0287416141573448e-07), np.float64(0.028988466058032965), np.float64(0.05193410496950098)]",9.914226404301588e-07
er-27319,4.42066492301052e-08,0.08432540511844805,3,"[np.float64(4.5526718809981814e-09), np.float64(0.04838315285880513), np.float64(0.7216699038444758)]",9.994847099369097e-07
pf-05212384,4.5881594079588695e-08,0.10214735384016034,3,"[np.float64(2.2935361190450816e-06), np.float64(0.000345910453466002), np.float64(0.20867828993101453)]",1.021394871279459e-06
broxyquinoline,4.705424128115254e-08,0.4890503070278676,3,"[np.float64(2.6776962898277584e-09), np.float64(0.07404428260918075), np.float64(0.8583633044495207)]",1.0316285929367839e-06
fenaclon,5.125834068309132e-08,1.4660619782805406,3,"[np.float64(5.666013805733246e-09), np.float64(0.10127648415564951), np.float64(0.32565849141252584)]",1.107027148782584e-06
adapalene,5.2660076854671445e-08,0.42117532012416287,3,"[np.float64(7.132995296266905e-10), np.float64(0.304939758907946), np.float64(0.8848571947685586)]",1.1205754589516115e-06
cnx-2006,8.665507766902891e-08,1.035666401091005,3,"[np.float64(1.7935672716083864e-08), np.float64(0.12213796605368918), np.float64(0.15155400436554178)]",1.8172448896678963e-06
tacalcitol,9.163956282698393e-08,1.232740590266652,3,"[np.float64(1.937682429938077e-08), np.float64(0.0624885260606651), np.float64(0.29152310324702013)]",1.8943206772949392e-06
methocarbamol,9.813371970590623e-08,2.365785115478619,3,"[np.float64(1.3735502440684232e-07), np.float64(0.005475346815038525), np.float64(0.5059389020737843)]",1.9921225037644904e-06
yo-01027,9.970841119422147e-08,1.6732121118878784,3,"[np.float64(1.1255086215643334e-08), np.float64(0.05191315376442614), np.float64(0.6626874180967965)]",1.9921225037644904e-06
cediranib,1.0050099708003302e-07,0.7144100642372155,3,"[np.float64(1.0768467433087295e-09), np.float64(0.6719868480836539), np.float64(0.5397478311296222)]",1.9921225037644904e-06
cabazitaxel,1.1047326531343771e-07,0.35712870404764907,3,"[np.float64(6.466463929790595e-08), np.float64(0.08054476058921846), np.float64(0.08318911394873042)]",2.1602002014668154e-06
astemizole,1.1208640704474249e-07,0.49821152068919855,3,"[np.float64(1.9600110338911483e-08), np.float64(0.10045325318566956), np.float64(0.22359147702298207)]",2.1625204132498983e-06
topotecan,1.1532445887141307e-07,0.464186643397366,3,"[np.float64(1.441401044918595e-08), np.float64(0.06151098583125933), np.float64(0.5122844261647375)]",2.1957169998280886e-06
ikk-2-inhibitor-v,1.1988326487077927e-07,0.29966996542862684,3,"[np.float64(1.4393492023688023e-06), np.float64(0.0004772764316181772), np.float64(0.6899052404349251)]",2.252871224259969e-06
erlotinib,1.215068059501334e-07,2.6296572569154057,3,"[np.float64(8.956073640142763e-08), np.float64(0.012950355588507361), np.float64(0.4147038402381835)]",2.254107028331321e-06
vindesine,1.4017709970559622e-07,0.5064502979066027,3,"[np.float64(1.3808511972138934e-08), np.float64(0.07207209303278361), np.float64(0.5654307662751422)]",2.567547636379718e-06
acdpp,1.4730822750497197e-07,0.4548955355475181,3,"[np.float64(0.00023243224148894071), np.float64(2.464313589392604e-05), np.float64(0.103746279102792)]",2.639916131643551e-06
trapidil,1.477769223656722e-07,0.3999484234843368,3,"[np.float64(2.8622868260797856e-05), np.float64(0.00010078781380139981), np.float64(0.20670896809132078)]",2.639916131643551e-06
epirubicin,1.8222124653632932e-07,0.1078740067518828,3,"[np.float64(5.943944859241972e-06), np.float64(0.0008632849372600777), np.float64(0.14630745702870135)]",3.215538338269128e-06
elesclomol,2.1855331810982648e-07,0.4451237728767712,3,"[np.float64(3.7676402159593576e-08), np.float64(0.09091192699399098), np.float64(0.2677176338235021)]",3.810200618131553e-06
decitabine,2.3125909620613783e-07,0.4974065737763168,3,"[np.float64(4.10280631028335e-09), np.float64(0.5234756537167509), np.float64(0.4543672523954849)]",3.983713240598588e-06
taltobulin,2.3592909048630872e-07,0.3185980712475552,3,"[np.float64(2.684533293674097e-08), np.float64(0.20299716921552025), np.float64(0.1830569503190354)]",4.016345810984573e-06
ixabepilone,2.442391895396412e-07,0.15730967602606613,3,"[np.float64(3.2632960770039305e-06), np.float64(0.0012801216132419964), np.float64(0.24808091476946825)]",4.109466363533265e-06
ciclopirox,2.525407923892331e-07,0.43828672001658125,3,"[np.float64(2.0905674964629094e-07), np.float64(0.04665457262845502), np.float64(0.11023802485266519)]",4.200304903301383e-06
pp242,2.6344149584023313e-07,0.22357215884271106,3,"[np.float64(6.32605105891876e-08), np.float64(0.035428904725121405), np.float64(0.502594533658542)]",4.321376888187963e-06
sclareol,2.6579304979179597e-07,0.5502659551036859,3,"[np.float64(1.027505762318025e-06), np.float64(0.0027091018341321407), np.float64(0.40864945712243195)]",4.321376888187963e-06
phenylbutazone,2.94227487818155e-07,0.48665602536227653,3,"[np.float64(4.442544808127984e-07), np.float64(0.021723439709071944), np.float64(0.13184002548797394)]",4.730524165254114e-06
gdc-0068,2.9921813349265136e-07,0.32737124360666264,3,"[np.float64(3.3012404481606835e-08), np.float64(0.28129451686840445), np.float64(0.13957973521897843)]",4.757897133668863e-06
ac-264613,3.209666730175087e-07,0.43127312925329436,3,"[np.float64(6.082424324606283e-06), np.float64(0.0007850792674271822), np.float64(0.29327325702868257)]",5.046214040579863e-06
etoposide-phosphate,3.24586729161247e-07,0.6172801559248011,3,"[np.float64(1.496100967996735e-07), np.float64(0.018527782383364277), np.float64(0.5115058508983963)]",5.046214040579863e-06
kx2-391,3.2781210768106916e-07,0.4515328503894115,3,"[np.float64(2.213667150909556e-08), np.float64(0.13527955515977305), np.float64(0.47865990036895234)]",5.046214040579863e-06
terfenadine,3.376988608749798e-07,0.7182694506402296,3,"[np.float64(5.910618149028783e-09), np.float64(0.3094832418907961), np.float64(0.8097238004013627)]",5.143686859853639e-06
nvp-tae226,3.5680884291622306e-07,1.4678952333547934,3,"[np.float64(3.5339018976857855e-08), np.float64(0.16719643863049286), np.float64(0.2663806882671891)]",5.378149955205987e-06
tanespimycin,3.7699157617865353e-07,0.4564339319147766,3,"[np.float64(2.1927413071674655e-07), np.float64(0.01791961411561605), np.float64(0.4256398229245125)]",5.623781553922801e-06
pelitinib,4.540170112088404e-07,2.421308904999789,3,"[np.float64(3.9872980203244305e-06), np.float64(0.0006498544788805379), np.float64(0.7925649253976137)]",6.675932354323695e-06
volasertib,4.5675003668144143e-07,0.5581915282969573,3,"[np.float64(3.369685265224298e-08), np.float64(0.145589823867087), np.float64(0.4213950625917706)]",6.675932354323695e-06
homoharringtonine,4.855143401760742e-07,0.42655387785033805,3,"[np.float64(2.834092480809978e-08), np.float64(0.7115982636910085), np.float64(0.1096666841977187)]",7.025392502347794e-06
paliperidone,5.013473063364415e-07,0.5105193757392856,3,"[np.float64(4.2261037037547725e-08), np.float64(0.34341865928493887), np.float64(0.15789425773926344)]",7.18266883434486e-06
saracatinib,5.174549139175255e-07,1.8367974194341823,3,"[np.float64(1.5292930572876977e-06), np.float64(0.0034564570405604613), np.float64(0.448945643131496)]",7.340757455280974e-06
dienogest,5.363086187371024e-07,0.5165162904430531,3,"[np.float64(3.2411973843753e-07), np.float64(0.03010942653819618), np.float64(0.2529855592121263)]",7.534355061287255e-06
norfloxacin,6.020749369062273e-07,0.4341441565844337,3,"[np.float64(2.6410099804407187e-05), np.float64(0.00041753218258494453), np.float64(0.2544618452409689)]",8.37694647791645e-06
bms-387032,6.185230023714183e-07,0.23691277619380569,3,"[np.float64(7.417251364385257e-09), np.float64(0.6989319153305702), np.float64(0.5576482493132494)]",8.523836042204213e-06
pf-03758309,6.901525677616149e-07,0.7532166885860773,3,"[np.float64(1.6622513889696646e-08), np.float64(0.3183639922034752), np.float64(0.6167517061656396)]",9.42123363727412e-06
merimepodib,8.111353416717648e-07,0.32940718730952495,3,"[np.float64(2.4354922938678504e-07), np.float64(0.07403187035918263), np.float64(0.21649979146778706)]",1.0969278872888259e-05
dichlorisone-acetate,8.558583051154756e-07,0.9023062187443865,3,"[np.float64(6.511526957266591e-08), np.float64(0.07260998761306339), np.float64(0.8762509242021118)]",1.1466916365760122e-05
bis(maltolato)oxovanadium(iv),8.862932437958548e-07,0.4215852799122997,3,"[np.float64(3.7726166863646256e-07), np.float64(0.05205554186743762), np.float64(0.21929527165606516)]",1.1765746089656898e-05
bix-01294,9.350034845256872e-07,0.10173830785903437,3,"[np.float64(8.233319129177282e-07), np.float64(0.008759752182757333), np.float64(0.6336504629056107)]",1.229954583735154e-05
desoxycortone,1.0031548340894147e-06,0.6481333426658388,3,"[np.float64(7.333400233402799e-08), np.float64(0.32090779145570364), np.float64(0.20996197470109645)]",1.3077162566913361e-05
lapatinib,1.0175331783823793e-06,2.858192054695365,3,"[np.float64(0.0003587915469927152), np.float64(1.7362845499079292e-05), np.float64(0.8057943301367416)]",1.3146165259993777e-05
baicalein,1.1194561388983004e-06,2.185880485805916,3,"[np.float64(1.2991231847931356e-05), np.float64(0.0015719282219876754), np.float64(0.27330157127814836)]",1.4334982592795051e-05
cibenzoline,1.1425602701731208e-06,0.4018578519463249,3,"[np.float64(2.012346154973368e-08), np.float64(0.342886671460986), np.float64(0.8274225926698313)]",1.4502497464390401e-05
emd-53998,1.1632987282350626e-06,0.5966677790530436,3,"[np.float64(1.0625336303775136e-07), np.float64(0.15302086658683348), np.float64(0.35823371040764307)]",1.4637332693531614e-05
voxtalisib,1.2380368926701024e-06,0.5148081090949829,3,"[np.float64(0.00027553000258433223), np.float64(0.0002513591438961238), np.float64(0.0901253844533551)]",1.5443442962876192e-05
levobunolol,1.305303875764885e-06,0.4196350764961897,3,"[np.float64(2.8887961987643613e-07), np.float64(0.21725975023810273), np.float64(0.1054770812570844)]",1.6143373574630673e-05
etomoxir,1.3909702811787383e-06,0.5354139660756821,3,"[np.float64(3.444971717286353e-08), np.float64(0.3978527153070839), np.float64(0.5183772632567686)]",1.705706777004775e-05
tagatose,1.5137408625465198e-06,0.80904238148906,3,"[np.float64(1.7757528734119747e-08), np.float64(0.8664922041275458), np.float64(0.5073126360577296)]",1.8406580068107683e-05
doxorubicin,1.6624181887747724e-06,0.19607640617687133,3,"[np.float64(2.4035679400864138e-06), np.float64(0.010836215335789458), np.float64(0.33264708756518513)]",2.0045992659642465e-05
temsirolimus,1.7614702475521327e-06,0.7101089428119697,3,"[np.float64(2.6349616326220242e-08), np.float64(0.36157335028482096), np.float64(0.9699315439580242)]",2.0999355276868634e-05
ag-14361,1.7705054207173276e-06,0.5250839292014852,3,"[np.float64(8.2276978423889e-08), np.float64(0.220649769690415), np.float64(0.5119236224995782)]",2.0999355276868634e-05
pyroxamide,2.161730377037152e-06,0.2918920863110862,3,"[np.float64(3.1724951048712144e-05), np.float64(0.01169631979381377), np.float64(0.03128870588299167)]",2.5431088256689098e-05
tg-101209,2.836867563194012e-06,0.5400012178505729,3,"[np.float64(4.973614582428664e-08), np.float64(0.420470315144873), np.float64(0.7519966131118645)]",3.310441422533658e-05
ggti-298,3.343408391809355e-06,0.4032125607907424,3,"[np.float64(1.556539737740609e-06), np.float64(0.17167136202828387), np.float64(0.07072045729124717)]",3.8703295543585094e-05
azd8931,3.5013282985163485e-06,3.419239154908658,3,"[np.float64(0.00024642868229420343), np.float64(0.0003494483874746356), np.float64(0.23107698508449503)]",4.020969879327902e-05
crenolanib,3.569566640826416e-06,0.2212165601173922,3,"[np.float64(5.788559490519852e-07), np.float64(0.12021374851117278), np.float64(0.29220552187649873)]",4.0670574246266324e-05
ski-ii,3.8027324544831487e-06,0.38359798350559166,3,"[np.float64(1.6333775432914473e-07), np.float64(0.5136542481577562), np.float64(0.26014842349576084)]",4.298870204403997e-05
ku-0063794,4.0045357978524265e-06,0.20884703731694904,3,"[np.float64(1.354660026634667e-06), np.float64(0.7367470787705651), np.float64(0.023172953301516898)]",4.49190953449028e-05
azd2461,4.230184137199444e-06,0.6766810579097013,3,"[np.float64(6.292096418891476e-07), np.float64(0.10172607536928563), np.float64(0.3842173274455085)]",4.708520343482766e-05
osimertinib,4.830527952637276e-06,3.5217028629137723,3,"[np.float64(1.1745636030190298e-06), np.float64(0.04494812473799245), np.float64(0.5405522636657343)]",5.335705303409266e-05
bw-180c,4.952553672832316e-06,1.9736081553588485,3,"[np.float64(1.3970034788619597e-05), np.float64(0.005668770966569745), np.float64(0.3705905026035754)]",5.4290493671123956e-05
gw-842166,5.083980502806895e-06,0.6371249814580999,3,"[np.float64(2.0322242514513645e-07), np.float64(0.22116405842434375), np.float64(0.6724464554723063)]",5.521494153310882e-05
sb-2343,5.127040838215358e-06,0.1381564530120817,3,"[np.float64(6.594700947024468e-05), np.float64(0.001177426200188289), np.float64(0.3929394665312208)]",5.521494153310882e-05
maytansinol-isobutyrate,5.151359438126946e-06,0.5191767016769324,3,"[np.float64(2.7765575944442853e-07), np.float64(0.7439240377254486), np.float64(0.14849968323948926)]",5.521494153310882e-05
everolimus,5.776166753901357e-06,0.684069929955621,3,"[np.float64(9.850430981440012e-08), np.float64(0.6375376915446789), np.float64(0.5554200266595297)]",6.145671538893577e-05
sn-38,6.237969221944972e-06,0.6301803913142101,3,"[np.float64(5.898343139078544e-08), np.float64(0.8778203094871652), np.float64(0.7344777352081782)]",6.538104130270171e-05
tg-101348,6.248906477268612e-06,0.40471328088180286,3,"[np.float64(2.104970678156985e-07), np.float64(0.27683858260864724), np.float64(0.6538779660464538)]",6.538104130270171e-05
rimexolone,6.280556144488969e-06,0.6698415471292917,3,"[np.float64(1.5203159609488747e-07), np.float64(0.8725403261330201), np.float64(0.2888790472502884)]",6.538104130270171e-05
riluzole,6.968561597764378e-06,0.3687810866854562,3,"[np.float64(0.003307737352207956), np.float64(0.001976375820640399), np.float64(0.006588657860522418)]",7.161598510472598e-05
acetylcysteine,6.978475397212414e-06,2.2411664926884107,3,"[np.float64(0.00013697123646999596), np.float64(0.0010935041521059322), np.float64(0.28803297066892053)]",7.161598510472598e-05
tg-02,7.046202571081572e-06,0.30548578585288283,3,"[np.float64(9.348340189695605e-08), np.float64(0.6651744914863897), np.float64(0.7013592347830779)]",7.180179662221855e-05
tiludronate,7.2215115243245975e-06,0.40191062756818563,3,"[np.float64(0.0013583226251023938), np.float64(0.0005285083963235245), np.float64(0.06245450086687904)]",7.307361661327057e-05
carboxypyridine-disulfide,7.768598039858965e-06,0.6707362632983952,3,"[np.float64(7.29561813025734e-08), np.float64(0.7264292686259346), np.float64(0.9184555673997944)]",7.80636205810828e-05
bi-d1870,8.225890319124574e-06,0.6996776987104142,3,"[np.float64(2.670928948293663e-07), np.float64(0.2137981876424929), np.float64(0.909116480855082)]",8.208871235705696e-05
gsk256066,8.940322592687622e-06,0.602994208087572,3,"[np.float64(0.0003002386269019318), np.float64(0.0005622325120412275), np.float64(0.3377979817687065)]",8.860716980560952e-05
beta-naphthol,9.420499459511511e-06,1.742886847858704,3,"[np.float64(6.448346192566588e-07), np.float64(0.275076471687727), np.float64(0.3409978137438517)]",9.273103889736842e-05
oligomycin-a,1.1505004972711674e-05,0.3543216519063467,3,"[np.float64(0.004329407359397075), np.float64(0.000178997511751954), np.float64(0.09780155160327196)]",0.00011248474456428237
genipin,1.2705268983559392e-05,0.3082838925194849,3,"[np.float64(2.023918842740759e-06), np.float64(0.28368468440650546), np.float64(0.14766835341882856)]",0.0001225471483464246
dasatinib,1.2760647938536707e-05,1.7917554685832864,3,"[np.float64(4.8576120628581e-05), np.float64(0.004002874467801459), np.float64(0.4381842557439315)]",0.0001225471483464246
plinabulin,1.2788264962204643e-05,0.2321764819345154,3,"[np.float64(1.93188046546148e-05), np.float64(0.015699695965065697), np.float64(0.281605690543125)]",0.0001225471483464246
cp-724714,1.3031900341298197e-05,3.776205836525006,3,"[np.float64(8.306048406078965e-07), np.float64(0.12153991526964569), np.float64(0.8643018339600796)]",0.0001240602618017006
apatinib,1.3343950650113179e-05,0.42464957648248364,3,"[np.float64(9.221982546175146e-05), np.float64(0.013625646172668576), np.float64(0.07132101793507513)]",0.00012523306886607006
oxiperomide,1.339445564119135e-05,0.650922533866531,3,"[np.float64(2.723340149825686e-07), np.float64(0.4184450539268829), np.float64(0.789794204114624)]",0.00012523306886607006
tetrahydropapaverine,1.3414737853656433e-05,0.724576238024534,3,"[np.float64(1.885136715488542e-07), np.float64(0.5054798551682684), np.float64(0.9461297416098627)]",0.00012523306886607006
cefditoren-pivoxil,1.3546441036016432e-05,2.276916597767286,3,"[np.float64(1.1270562729897352e-05), np.float64(0.03260080380130158), np.float64(0.24809732883241467)]",0.00012565192422510113
lovastatin,1.4945990319703562e-05,0.420464593474098,3,"[np.float64(1.7400542455797467e-05), np.float64(0.24986873202894738), np.float64(0.023433342039536186)]",0.00013639996149731416
