drug,HR,pvalue,padj,cohort
elesclomol,0.32703377247710463,3.7676402159593576e-08,7.367264043909716e-07,SCANB
paliperidone,0.4396975964874354,4.2261037037547725e-08,8.153562745777541e-07,SCANB
tg-101209,0.2590533619825938,4.973614582428664e-08,9.469500395755627e-07,SCANB
primaquine,0.3923943782662814,5.662431712731188e-08,1.0640959335483156e-06,SCANB
sn-38,0.3135622068748675,5.898343139078544e-08,1.0942182720829042e-06,SCANB
pp242,0.10015684173968739,6.32605105891876e-08,1.1587083395260059e-06,SCANB
cabazitaxel,0.303428393605677,6.466463929790595e-08,1.1632320379215748e-06,SCANB
dichlorisone-acetate,0.504362639217115,6.511526957266591e-08,1.1632320379215748e-06,SCANB
carboxypyridine-disulfide,0.24798471499546837,7.29561813025734e-08,1.2784855587631145e-06,SCANB
desoxycortone,0.5331831435492668,7.333400233402799e-08,1.2784855587631145e-06,SCANB
ag-14361,0.318250172966463,8.2276978423889e-08,1.4173189021353257e-06,SCANB
erlotinib,4.28353699764229,8.956073640142763e-08,1.524639830269009e-06,SCANB
tg-02,0.0780889579849524,9.348340189695605e-08,1.572912587731342e-06,SCANB
nizofenone,2.7992260963039173,9.707364289370539e-08,1.6145466812320885e-06,SCANB
everolimus,0.4788037207255911,9.850430981440012e-08,1.6197242761526926e-06,SCANB
wp1066,54.443809354498164,1.0287416141573448e-07,1.6725720400962673e-06,SCANB
emd-53998,0.42475061914636203,1.0625336303775136e-07,1.7083179590625136e-06,SCANB
gsk923295,0.2849485519393611,1.2904561771074152e-07,2.051967129971901e-06,SCANB
methocarbamol,2.97625915757999,1.3735502440684232e-07,2.1603556556163133e-06,SCANB
etoposide-phosphate,0.25988893378782807,1.496100967996735e-07,2.3278044093454575e-06,SCANB
rimexolone,0.5577324481502058,1.5203159609488747e-07,2.340316165418108e-06,SCANB
ski-ii,0.22311083972834697,1.6333775432914473e-07,2.487891900150236e-06,SCANB
brigatinib,3.626154003257579,1.7005862672486403e-07,2.563279509071648e-06,SCANB
tetrahydropapaverine,0.42516317236189477,1.885136715488542e-07,2.8121575539298148e-06,SCANB
gw-842166,0.44524882641042285,2.0322242514513645e-07,3.0006413182144127e-06,SCANB
ciclopirox,0.37155171667202636,2.0905674964629094e-07,3.0458925712931574e-06,SCANB
tg-101348,0.1626527119547739,2.104970678156985e-07,3.0458925712931574e-06,SCANB
tanespimycin,0.3625419305462025,2.1927413071674655e-07,3.1414818529419033e-06,SCANB
merimepodib,0.2336592018201667,2.4354922938678504e-07,3.4550562247321365e-06,SCANB
bi-d1870,0.45824274758136657,2.670928948293663e-07,3.7522662021174077e-06,SCANB
oxiperomide,0.2775642999167994,2.723340149825686e-07,3.7891088430747768e-06,SCANB
maytansinol-isobutyrate,0.35892821806221115,2.7765575944442853e-07,3.826360799200839e-06,SCANB
levobunolol,0.35434748797638055,2.8887961987643613e-07,3.9434793392566325e-06,SCANB
kw-2478,0.2504220324434906,2.936833929674774e-07,3.971587566578877e-06,SCANB
dienogest,0.40941068083177684,3.2411973843753e-07,4.342604273325055e-06,SCANB
talazoparib,0.4048476757711899,3.6828042183257516e-07,4.889007067814094e-06,SCANB
bis(maltolato)oxovanadium(iv),0.3181981571702951,3.7726166863646256e-07,4.962705768336012e-06,SCANB
phenylbutazone,0.4514564015367621,4.442544808127984e-07,5.79131742104612e-06,SCANB
vu0361737,0.5169327083650741,4.951454855151449e-07,6.397102835182273e-06,SCANB
rubitecan,0.38800821201608676,5.765575057507542e-07,7.3474084059493215e-06,SCANB
crenolanib,0.10658019891374823,5.788559490519852e-07,7.3474084059493215e-06,SCANB
tipranavir,0.3388413933545669,6.117014229745291e-07,7.696179979001834e-06,SCANB
lanatoside-c,0.11234567107957405,6.169708898163185e-07,7.696179979001834e-06,SCANB
azd2461,0.5732676663720679,6.292096418891476e-07,7.781763690714502e-06,SCANB
beta-naphthol,2.4208616609550293,6.448346192566588e-07,7.907421136138858e-06,SCANB
pf-04217903,2.3099783768547746,6.962661136280867e-07,8.466361902687742e-06,SCANB
bix-01294,0.03298751156576812,8.233319129177282e-07,9.928010649932939e-06,SCANB
cp-724714,14.596851873532756,8.306048406078965e-07,9.932935573220052e-06,SCANB
lurasidone,0.4183031841427018,9.209062040576574e-07,1.0922551453044512e-05,SCANB
avn-944,0.2065305565148152,9.719475216713878e-07,1.1434211901288602e-05,SCANB
sclareol,0.4552976965664593,1.027505762318025e-06,1.1990329339307921e-05,SCANB
azd5438,0.036060931311059,1.1247835299296982e-06,1.2984343987133008e-05,SCANB
harringtonine,0.15893266343184476,1.1306339615609944e-06,1.2984343987133008e-05,SCANB
osimertinib,6.383312748744486,1.1745636030190298e-06,1.338262624857115e-05,SCANB
azd7762,0.17199890550778033,1.326114952820284e-06,1.4991315130710554e-05,SCANB
ku-0063794,0.21361808987848413,1.354660026634667e-06,1.5195295027444675e-05,SCANB
ikk-2-inhibitor-v,0.19352023866529341,1.4393492023688023e-06,1.6021063814058897e-05,SCANB
cct128930,0.4114579869873557,1.4804561804913292e-06,1.635282513870957e-05,SCANB
saracatinib,5.49958606350514,1.5292930572876977e-06,1.6764295862843174e-05,SCANB
