drug,n_samples,pearson_r,spearman_r,rmse
valnemulin,91,-0.09719692,-0.13301481127568082,0.17870894
valrubicin,91,0.102080606,0.09616180920528747,0.096160755
vandetanib,82,0.011793529,0.009626629067199067,0.09754673
vanoxerine,94,-0.08325998,0.021464436657876673,0.12175636
vatalanib,90,0.070364006,0.010165864098448368,0.18575875
vemurafenib,94,0.040918715,-0.007858071986215067,0.2515186
venetoclax,95,0.078528754,0.06631069577762226,0.23934996
verubulin,92,-0.0028455553,-0.01339333877903303,0.16551045
vidarabine,85,0.061794076,0.05278483486417823,0.13177468
vinblastine,93,0.18869293,0.19054937184804988,0.15059303
vincamine,90,0.18339309,0.11755360744124789,0.21754113
vincristine,90,0.07334247,0.10653990204552002,0.3282393
vindesine,94,0.097703815,0.1165552866380089,0.16242984
vinflunine,93,-0.0036468853,0.01402524544179523,0.13007528
vinorelbine,92,-0.059457816,0.05939922629964706,0.14731614
vismodegib,81,0.05507098,0.009639602907847577,0.068689376
volasertib,83,-0.024967931,-0.033641008842889585,0.21023944
voreloxin,91,-0.020467842,-0.03368370759675107,0.13015701
vorinostat,95,-0.01437367,-0.01011635602897516,0.087557495
voxtalisib,91,0.075765945,0.14599458512501992,0.28133225
warfarin,85,-0.1210306,-0.13771741254641393,0.24312648
xanomeline,91,0.017718509,-0.03541965281095716,0.18599488
xilobam,87,0.058421373,0.11177735656484653,0.20389198
xylazine,84,0.020837914,0.006641692821706996,0.22234273
zaldaride,93,-0.023316285,-0.09150726627077675,0.18773164
zaleplon,89,0.108853966,0.09765066394279878,0.1369356
zardaverine,90,0.035686992,-0.016487632217969297,0.120837025
ziprasidone,88,0.09184557,0.08245570779472369,0.2816711
zolantidine,48,-0.01542823,0.013352149370386453,0.20338483
zolmitriptan,87,0.19697939,0.15586498505504118,0.22133191
