drug,HR,pvalue,padj,cohort
pevonedistat,0.17511418897756975,0.08735197785380064,0.9967351166470957,TCGA
ibrutinib,7.165418640123885,0.08749058827148071,0.9967351166470957,TCGA
whi-p154,0.4538841972205343,0.08804963129206375,0.9967351166470957,TCGA
ar-42,0.18674169816671254,0.08849421116687961,0.9967351166470957,TCGA
dioscin,0.10999855469636194,0.08916428408159842,0.9967351166470957,TCGA
evp4593,0.11921738796274291,0.08926606678269466,0.9967351166470957,TCGA
voxtalisib,0.41633754808488127,0.0901253844533551,0.9967351166470957,TCGA
eprosartan,0.21548706463998296,0.09061478624443133,0.9967351166470957,TCGA
pki-179,0.0661291042130116,0.09106255088538484,0.9967351166470957,TCGA
bicalutamide,0.1830770922238912,0.09202252837722921,0.9967351166470957,TCGA
gsk923295,0.25664627827402653,0.09280072751548277,0.9967351166470957,TCGA
oligomycin-a,0.24351183859335218,0.09780155160327196,0.9967351166470957,TCGA
forskolin,0.33133465023970654,0.09791301814115366,0.9967351166470957,TCGA
triamcinolone-acetonide,2.0581920075232354,0.09794757181598744,0.9967351166470957,TCGA
s-methylcysteine,0.23219072516917588,0.10114775088097495,0.9967351166470957,TCGA
rifampin,0.21127660221425454,0.10131971992337842,0.9967351166470957,TCGA
colchicine,0.2086926288660315,0.10137805160911259,0.9967351166470957,TCGA
doxycycline,0.33544287232056114,0.10251492051374536,0.9967351166470957,TCGA
acdpp,0.38064814917398376,0.103746279102792,0.9967351166470957,TCGA
ly2784544,0.2168964974328252,0.10387149284096174,0.9967351166470957,TCGA
bexarotene,0.04678059275225091,0.10542739163768687,0.9967351166470957,TCGA
levobunolol,0.29278983674430664,0.1054770812570844,0.9967351166470957,TCGA
d-64131,0.3021327591834596,0.10601671093835664,0.9967351166470957,TCGA
tivozanib,0.08738037127832707,0.10689308434170863,0.9967351166470957,TCGA
naftifine,0.3336918434285984,0.1068934478173445,0.9967351166470957,TCGA
bisacodyl,0.281662263594536,0.10849954975392319,0.9967351166470957,TCGA
dmh1,0.3619671241799998,0.1089391340183155,0.9967351166470957,TCGA
epz-5676,0.2858030401653721,0.10952160742659782,0.9967351166470957,TCGA
homoharringtonine,0.2873680782461719,0.1096666841977187,0.9967351166470957,TCGA
tucatinib,0.0887699319440435,0.11021375061652705,0.9967351166470957,TCGA
ciclopirox,0.3737537771936118,0.11023802485266519,0.9967351166470957,TCGA
napabucasin,0.18902728296390545,0.11211093076809608,0.9967351166470957,TCGA
ve-822,0.17311311029036217,0.11215489813616127,0.9967351166470957,TCGA
anisomycin,0.062305198452357595,0.11217535597989882,0.9967351166470957,TCGA
bay-11-7082,0.021818139556536293,0.11425923914762375,0.9967351166470957,TCGA
equol,4.337293808306167,0.11526139343402739,0.9967351166470957,TCGA
josamycin,3.5677985862535824,0.1153858327528715,0.9967351166470957,TCGA
sb-657510,0.48761527546587946,0.11550377523811212,0.9967351166470957,TCGA
cetrimonium,0.0446747768443487,0.1156451580541782,0.9967351166470957,TCGA
clotrimazole,2.804622965480582,0.11568544168999205,0.9967351166470957,TCGA
du-728,0.3334959758965366,0.11686571107360672,0.9967351166470957,TCGA
pf-04691502,0.06009450263233704,0.11698399064378907,0.9967351166470957,TCGA
gdc-0152,2.0911056771036054,0.11706958613745545,0.9967351166470957,TCGA
panobinostat,0.2021956357326484,0.1171192413931108,0.9967351166470957,TCGA
cgp-37849,0.30495802814294115,0.11754157829233006,0.9967351166470957,TCGA
betulinic-acid,0.21078094408708156,0.11929480530091006,0.9967351166470957,TCGA
hyodeoxycholic-acid,0.36418001543442535,0.11973387963716348,0.9967351166470957,TCGA
bgt226,0.062157090266484,0.12134435168132039,0.9967351166470957,TCGA
albendazole,0.34167667131637813,0.12161955015614047,0.9967351166470957,TCGA
azd4547,0.43083229991572447,0.12386293565333979,0.9967351166470957,TCGA
scs,0.4559230135725853,0.12425831361972318,0.9967351166470957,TCGA
prazosin,0.26312600103480366,0.1255898042229063,0.9967351166470957,TCGA
nomegestrol-acetate,2.8246680062361778,0.12927563782482693,0.9967351166470957,TCGA
gambogic-acid,10.95094220837661,0.12992634200465586,0.9967351166470957,TCGA
lappaconite,0.1070446226540641,0.13140079576952254,0.9967351166470957,TCGA
phenylbutazone,0.40870926014630243,0.13184002548797394,0.9967351166470957,TCGA
foretinib,0.12777447847685183,0.13202708838083255,0.9967351166470957,TCGA
ppt,0.3676345724770904,0.13547497039377246,0.9967351166470957,TCGA
mexiletine,0.10513126468994471,0.13616044672104094,0.9967351166470957,TCGA
erastin,0.269512972930396,0.13630301597038444,0.9967351166470957,TCGA
gsk650394,0.25984318988349697,0.13658339471097167,0.9967351166470957,TCGA
doxifluridine,0.17331635957924715,0.1378664880417546,0.9967351166470957,TCGA
ptc-209,0.3413687792668704,0.13803076245593743,0.9967351166470957,TCGA
oxazepam,0.4427845427811764,0.1382299251402046,0.9967351166470957,TCGA
d-serine,2.9492437435419023,0.13861581624676045,0.9967351166470957,TCGA
gdc-0068,0.24216578153045626,0.13957973521897843,0.9967351166470957,TCGA
xbd173,0.37319478552076124,0.13963081447153794,0.9967351166470957,TCGA
raf265,0.3162839242918304,0.14051492709804936,0.9967351166470957,TCGA
thioguanine,8.529479990096974,0.14258583319142526,0.9967351166470957,TCGA
sb-218078,0.3326632445589968,0.14273408454086273,0.9967351166470957,TCGA
cyproterone-acetate,5.165080039000628,0.1440797074211977,0.9967351166470957,TCGA
piperine,0.27560121103660423,0.14433504462743116,0.9967351166470957,TCGA
oridonin,0.15587984588601142,0.14616031134074137,0.9967351166470957,TCGA
epirubicin,0.06745026147800672,0.14630745702870135,0.9967351166470957,TCGA
ganetespib,0.26606632454450785,0.14691509221982932,0.9967351166470957,TCGA
genipin,0.18552944498720564,0.14766835341882856,0.9967351166470957,TCGA
phenelzine,0.418286441442568,0.14833445407688414,0.9967351166470957,TCGA
maytansinol-isobutyrate,0.4214851896226142,0.14849968323948926,0.9967351166470957,TCGA
eltrombopag,0.3949270227477217,0.14948001231272584,0.9967351166470957,TCGA
rn-1734,0.2390373557054349,0.14966087008101836,0.9967351166470957,TCGA
ercalcitriol,0.37807480716345054,0.15012351570317573,0.9967351166470957,TCGA
uh-232-(+),0.31027859544281605,0.15149434944138337,0.9967351166470957,TCGA
cnx-2006,0.21860662955204324,0.15155400436554178,0.9967351166470957,TCGA
nimorazole,0.29762563293621735,0.1522235460042799,0.9967351166470957,TCGA
nutlin-3,0.3612092635734761,0.152663871453915,0.9967351166470957,TCGA
bms-345541,0.3766080070509287,0.1532044106145181,0.9967351166470957,TCGA
"2,3-dcpe",0.26229167538781467,0.15367271860979356,0.9967351166470957,TCGA
isoxsuprine,0.3982944613294648,0.15409829610787149,0.9967351166470957,TCGA
oxonic-acid,0.3623993552112241,0.15742159090595662,0.9967351166470957,TCGA
paliperidone,0.3639974721183062,0.15789425773926344,0.9967351166470957,TCGA
axitinib,0.10978518115671197,0.15864617831920802,0.9967351166470957,TCGA
parbendazole,0.3028460850055685,0.16030379753012952,0.9967351166470957,TCGA
ixazomib,0.23305924461050775,0.1613229339655583,0.9967351166470957,TCGA
spiradoline,0.2495218938612735,0.16342038702720918,0.9967351166470957,TCGA
tyrphostin-ag-99,4.780505772286538,0.163584605793003,0.9967351166470957,TCGA
demecarium,0.2994495773872526,0.1636173827087039,0.9967351166470957,TCGA
oxcarbazepine,2.6659264018290454,0.16494471133648125,0.9967351166470957,TCGA
fenbendazole,0.36952226993849696,0.1651198187403442,0.9967351166470957,TCGA
domperidone,0.508355876867131,0.16569401516618712,0.9967351166470957,TCGA
securinine,0.5266890501793238,0.16588161610909524,0.9967351166470957,TCGA
azd3463,0.15043044134293823,0.16628580925541925,0.9967351166470957,TCGA
telatinib,0.4068996614698375,0.1669034361268561,0.9967351166470957,TCGA
anguidine,0.10993018611550139,0.16795263582520686,0.9967351166470957,TCGA
temocapril,0.3572731381286995,0.1687469432247091,0.9967351166470957,TCGA
endo-iwr-1,4.296135776422741,0.16881362998655935,0.9967351166470957,TCGA
inc-280,0.0879558341179976,0.16997342338579252,0.9967351166470957,TCGA
cyclovirobuxin-d,3.405577103204573,0.1732969257692818,0.9967351166470957,TCGA
tg-100572,11.373137886760684,0.1747415224174375,0.9967351166470957,TCGA
imiquimod,0.015350285199722117,0.1757144724729292,0.9967351166470957,TCGA
m-344,0.15357088217102505,0.17573552629135616,0.9967351166470957,TCGA
pac-1,0.4267279578475093,0.17803718313696948,0.9967351166470957,TCGA
pd-184352,0.454512081323024,0.1785164882133839,0.9967351166470957,TCGA
cyclovalone,13.60230026264939,0.17933653498351892,0.9967351166470957,TCGA
thiamine,2.990363639854328,0.17951943546971794,0.9967351166470957,TCGA
cyclophosphamide,0.3667672545217204,0.1799756857085003,0.9967351166470957,TCGA
gastrodin,0.43633823552451656,0.18014296017687928,0.9967351166470957,TCGA
mk-0773,0.34258677055115,0.1810692742064945,0.9967351166470957,TCGA
evacetrapib,0.3780566681203802,0.18192038277196446,0.9967351166470957,TCGA
torcetrapib,0.4556687599555989,0.18230138140040503,0.9967351166470957,TCGA
taltobulin,0.24839085332835367,0.1830569503190354,0.9967351166470957,TCGA
prt062607,0.17140069704093994,0.18384148200134082,0.9967351166470957,TCGA
ouabain,0.18722849775803163,0.18397561975070126,0.9967351166470957,TCGA
litronesib,0.44099744140012154,0.18420890914872098,0.9967351166470957,TCGA
mk-1775,0.2422095132932788,0.18426412020897223,0.9967351166470957,TCGA
mln0128,0.3775458845073449,0.18485978290940588,0.9967351166470957,TCGA
bafetinib,0.2435046071237368,0.18570871398822475,0.9967351166470957,TCGA
dolastatin-10,0.3123752873275413,0.18579861768472772,0.9967351166470957,TCGA
enoximone,5.594243654168305,0.18687340223984397,0.9967351166470957,TCGA
mgcd-265,0.26209612979394886,0.18697359719209267,0.9967351166470957,TCGA
mebendazole,0.08726869236931249,0.18709427136055012,0.9967351166470957,TCGA
g-1,0.44575433538031584,0.18746956906079915,0.9967351166470957,TCGA
gw-501516,2.482312315651989,0.1882416744717372,0.9967351166470957,TCGA
emetine,0.1251858940769459,0.18855724601067145,0.9967351166470957,TCGA
ly456236,0.3803424230287611,0.1886874161382049,0.9967351166470957,TCGA
fluoromethylcholine,0.29010764988859966,0.1892552119557951,0.9967351166470957,TCGA
artemisinin,0.39131345627298014,0.19014002536485167,0.9967351166470957,TCGA
tak-285,0.41253099261031945,0.191067811622216,0.9967351166470957,TCGA
imiloxan,2.6275585995565893,0.19200127907395156,0.9967351166470957,TCGA
ym-976,0.49757413465604755,0.19271365320087697,0.9967351166470957,TCGA
abemaciclib,0.19613058238663644,0.1938269588947833,0.9967351166470957,TCGA
linifanib,0.09838060737376968,0.19392473055083786,0.9967351166470957,TCGA
pik-75,0.07786701171598301,0.19425353441392038,0.9967351166470957,TCGA
crizotinib-(s),0.11729780989738642,0.19516652468505408,0.9967351166470957,TCGA
fluticasone-propionate,2.2057323525262635,0.19614009888400497,0.9967351166470957,TCGA
torasemide,0.5201807685097443,0.19653452816300887,0.9967351166470957,TCGA
tamibarotene,0.14876587233188393,0.19834621880680423,0.9967351166470957,TCGA
resiquimod,0.041139420693937584,0.1984852875012501,0.9967351166470957,TCGA
fenoprofen,4.228974533648845,0.20328010426353993,0.9967351166470957,TCGA
sorafenib,0.4711339384239167,0.20530835086937874,0.9967351166470957,TCGA
trapidil,0.3756213338861312,0.20670896809132078,0.9967351166470957,TCGA
pf-05212384,0.09701840153155006,0.20867828993101453,0.9967351166470957,TCGA
amoxicillin,2.690309225663831,0.20938509807869443,0.9967351166470957,TCGA
desoxycortone,0.5849747093567297,0.20996197470109645,0.9967351166470957,TCGA
bibu-1361,2.158500692813857,0.21027513564885955,0.9967351166470957,TCGA
defactinib,0.3299522966161043,0.21116414448276413,0.9967351166470957,TCGA
nvp-auy922,0.37229229749066034,0.21122194595366878,0.9967351166470957,TCGA
tw-37,0.10819570171971134,0.21187246312357583,0.9967351166470957,TCGA
biib021,0.2620735703584753,0.21302958955083479,0.9967351166470957,TCGA
ly2183240,0.5095836175503058,0.21314388728045922,0.9967351166470957,TCGA
daclatasvir,2.357098852235333,0.21339852549656754,0.9967351166470957,TCGA
tirapazamine,0.3598795901781349,0.2134127238977634,0.9967351166470957,TCGA
clonazepam,0.1799450162199912,0.21452963967950822,0.9967351166470957,TCGA
nonoxynol-9,0.3923355082427608,0.21523222959647953,0.9967351166470957,TCGA
prednisolone-tebutate,0.4135415601220948,0.21647989640010407,0.9967351166470957,TCGA
merimepodib,0.27706401226004285,0.21649979146778706,0.9967351166470957,TCGA
cabozantinib,0.47366775124381244,0.21804446012627685,0.9967351166470957,TCGA
dalcetrapib,0.3976559140529489,0.21868028859134186,0.9967351166470957,TCGA
bis(maltolato)oxovanadium(iv),0.40129136707238244,0.21929527165606516,0.9967351166470957,TCGA
tecastemizole,0.45944755219552,0.21965303933549946,0.9967351166470957,TCGA
cholecalciferol,0.32652086026218125,0.22016117479644612,0.9967351166470957,TCGA
diaveridine,0.4404422298255001,0.2208038586284412,0.9967351166470957,TCGA
camptothecin,0.5668380177355571,0.22124151181976884,0.9967351166470957,TCGA
ketoprofen,0.5549158345038587,0.22125886055773947,0.9967351166470957,TCGA
selinexor,0.17607424359071402,0.22188502687753844,0.9967351166470957,TCGA
astemizole,0.4218684242320019,0.22359147702298207,0.9967351166470957,TCGA
acivicin,0.27228336785412394,0.22426349517435779,0.9967351166470957,TCGA
nicotine,0.4850174235359689,0.22593430760347163,0.9967351166470957,TCGA
trichostatin-a,0.05846367788314862,0.22650988505599295,0.9967351166470957,TCGA
vidarabine,0.2523175680354798,0.22784935399713224,0.9967351166470957,TCGA
almorexant,0.4000500905296501,0.22887484534000951,0.9967351166470957,TCGA
trometamol,2.180502045353449,0.22969902256873936,0.9967351166470957,TCGA
saxagliptin,0.4932439823791816,0.23101995275192233,0.9967351166470957,TCGA
azd8931,4.0944411812127335,0.23107698508449503,0.9967351166470957,TCGA
zaldaride,2.569158174080844,0.23147889795519327,0.9967351166470957,TCGA
orotic-acid,0.48930199068585917,0.23365073030943376,0.9967351166470957,TCGA
ciprofibrate,1.6983933738032144,0.23572098106647071,0.9967351166470957,TCGA
nafcillin,0.48687100576580333,0.23638648376074226,0.9967351166470957,TCGA
fluroxene,0.41963115404698487,0.2366514300720233,0.9967351166470957,TCGA
idasanutlin,0.22122741104038596,0.23675042189053924,0.9967351166470957,TCGA
resminostat,0.5127258259630465,0.23681407877461844,0.9967351166470957,TCGA
vtp-27999,0.30412860850549983,0.23697096597401807,0.9967351166470957,TCGA
7-hydroxystaurosporine,0.10799535248364048,0.23764410408371317,0.9967351166470957,TCGA
sodium-stibogluconate,2.2840657603141294,0.23921166968988727,0.9967351166470957,TCGA
venetoclax,1.7351295558263515,0.23923924370791216,0.9967351166470957,TCGA
gsk429286a,3.1886525991274146,0.2392766719706485,0.9967351166470957,TCGA
stemregenin-1,0.5031871155576504,0.23953253891464393,0.9967351166470957,TCGA
spermine,0.40630639016015124,0.2401186060583562,0.9967351166470957,TCGA
dirithromycin,0.4494600983612623,0.24059130533431067,0.9967351166470957,TCGA
bnc105,0.4766667261334314,0.24069140524862567,0.9967351166470957,TCGA
ethacridine-lactate-monohydrate,0.36287825214224995,0.24113496714729743,0.9967351166470957,TCGA
ha14-1,0.1213428005316806,0.2412285992562329,0.9967351166470957,TCGA
puromycin,0.15195327917812965,0.24137256625107092,0.9967351166470957,TCGA
fexinidazole,0.46944758885159493,0.24154124868315252,0.9967351166470957,TCGA
uprosertib,0.19113481133085986,0.2418951118240828,0.9967351166470957,TCGA
sarafloxacin,0.314304415768998,0.24250963137759032,0.9967351166470957,TCGA
homoquinolinic-acid,0.5865732647416873,0.24416996950337025,0.9967351166470957,TCGA
bisindolylmaleimide-ix,0.10416353525845061,0.24433296711440367,0.9967351166470957,TCGA
letrozole,0.4828751456175415,0.24453289084036545,0.9967351166470957,TCGA
azilsartan,3.1092455672782204,0.24456796274411097,0.9967351166470957,TCGA
chlorogenic-acid,0.4881344626697219,0.24530343933071563,0.9967351166470957,TCGA
lonafarnib,0.5110786129796896,0.24634135812273766,0.9967351166470957,TCGA
cobicistat,2.0014568861942026,0.24713270868717546,0.9967351166470957,TCGA
ixabepilone,0.13325569407181995,0.24808091476946825,0.9967351166470957,TCGA
cefditoren-pivoxil,2.4730128349649,0.24809732883241467,0.9967351166470957,TCGA
tacrolimus,0.4560336902405228,0.24849398176166604,0.9967351166470957,TCGA
resatorvid,0.49764870677464035,0.24855956992120692,0.9967351166470957,TCGA
tanshinone-i,2.6810808777627675,0.2505818752512112,0.9967351166470957,TCGA
rg2833,0.5746562967083431,0.2505827164641374,0.9967351166470957,TCGA
enzalutamide,0.47361616365809295,0.2512013861359996,0.9967351166470957,TCGA
eplerenone,3.9697755730648776,0.25192748698416406,0.9967351166470957,TCGA
cx-4945,0.5122750080701808,0.2529570795580712,0.9967351166470957,TCGA
dienogest,0.4992769080516596,0.2529855592121263,0.9967351166470957,TCGA
verubulin,0.47957841301462467,0.25390250497890926,0.9967351166470957,TCGA
norfloxacin,0.3987738929969999,0.2544618452409689,0.9967351166470957,TCGA
ritodrine,0.3981500515897587,0.25744727018722047,0.9967351166470957,TCGA
zk811752,0.30279657109097347,0.25871967256792233,0.9967351166470957,TCGA
acetylsalicylsalicylic-acid,2.4502851574166105,0.2595115138129613,0.9967351166470957,TCGA
ym-155,0.2874569272266484,0.2600645963967079,0.9967351166470957,TCGA
ski-ii,0.31017910481936806,0.26014842349576084,0.9967351166470957,TCGA
sb-205384,2.2041991050054013,0.2615655043797168,0.9967351166470957,TCGA
licochalcone-a,0.48459014763405,0.261802756539835,0.9967351166470957,TCGA
mibampator,3.5632854448646616,0.26283137267832246,0.9967351166470957,TCGA
s26948,1.8216751232024313,0.2634882179979019,0.9967351166470957,TCGA
bekanamycin,0.524945493345119,0.26529286093941457,0.9967351166470957,TCGA
3'-fluorobenzylspiperone,0.4033591772922714,0.26635084483274796,0.9967351166470957,TCGA
nvp-tae226,0.19469129704087623,0.2663806882671891,0.9967351166470957,TCGA
octopamine,0.4738305509207453,0.26693095428714864,0.9967351166470957,TCGA
su014813,0.3499477038698135,0.2670882812182714,0.9967351166470957,TCGA
bardoxolone-methyl,0.25166736320319644,0.2671136602065456,0.9967351166470957,TCGA
digitoxigenin,0.22298871947699492,0.26758004303776056,0.9967351166470957,TCGA
elesclomol,0.4092817541837773,0.2677176338235021,0.9967351166470957,TCGA
fk-888,0.36466273762899964,0.26813949703901174,0.9967351166470957,TCGA
gefitinib,2.7285092502687456,0.26820165136846125,0.9967351166470957,TCGA
i-bet151,0.6300683876398926,0.2682279145549117,0.9967351166470957,TCGA
torin-1,0.1281653268562415,0.26859803537317006,0.9967351166470957,TCGA
enocitabine,0.43655815849279533,0.2691083541043404,0.9967351166470957,TCGA
amfenac,2.844683488624419,0.2697099961463244,0.9967351166470957,TCGA
valnemulin,0.385960121032757,0.27040653923332447,0.9967351166470957,TCGA
cgs-15943,2.6909825204968687,0.27168808478736467,0.9967351166470957,TCGA
lidamidine,0.37554529648687696,0.27173317972269356,0.9967351166470957,TCGA
aeg3482,0.5752153746078268,0.27214850320584677,0.9967351166470957,TCGA
mesoridazine,0.3840032439253156,0.272266558581413,0.9967351166470957,TCGA
baicalein,2.4769043395070365,0.27330157127814836,0.9967351166470957,TCGA
cp-673451,0.5456754303903385,0.27445120848603166,0.9967351166470957,TCGA
mek162,0.37080780257624973,0.2751858981704529,0.9967351166470957,TCGA
oxiracetam,0.24352526629047686,0.2759698954072193,0.9967351166470957,TCGA
pd-318088,0.5571158072727593,0.2763862521804513,0.9967351166470957,TCGA
ly2801653,0.21347750727226344,0.27737543371716417,0.9967351166470957,TCGA
vandetanib,0.1464669850118661,0.27847809949285085,0.9967351166470957,TCGA
pu-h71,0.09212971944233496,0.2785169878559868,0.9967351166470957,TCGA
teprenone,0.45648087213603833,0.2792246869976297,0.9967351166470957,TCGA
nefiracetam,0.4727053593750316,0.27946133380315374,0.9967351166470957,TCGA
ispinesib,0.5477528112573852,0.2802681051105843,0.9967351166470957,TCGA
plinabulin,0.19869014560358422,0.281605690543125,0.9967351166470957,TCGA
rs-504393,0.3690242060641773,0.2840521965666537,0.9967351166470957,TCGA
y-27632,2.506253897737399,0.28410472314199287,0.9967351166470957,TCGA
raclopride,0.5306502362689313,0.28419618213721576,0.9967351166470957,TCGA
mesna,2.0243142505001077,0.2848488857923722,0.9967351166470957,TCGA
clobutinol,1.798257970232646,0.2860062900783523,0.9967351166470957,TCGA
chicago-sky-blue-6b,1.9831654228291835,0.28650499829095555,0.9967351166470957,TCGA
thiostrepton,0.3431889262233479,0.2869418653420812,0.9967351166470957,TCGA
scriptaid,0.3476638431800598,0.2869693636603394,0.9967351166470957,TCGA
acetylcysteine,2.390654877049479,0.28803297066892053,0.9967351166470957,TCGA
rimexolone,0.5509869862281047,0.2888790472502884,0.9967351166470957,TCGA
3-deazaneplanocin-a,0.2787413492960251,0.28930372508515845,0.9967351166470957,TCGA
xl888,0.19111985779774882,0.2896301971046078,0.9967351166470957,TCGA
masitinib,0.5566857833663738,0.28980140628764023,0.9967351166470957,TCGA
pj-34,2.2046939613834677,0.2905708653893846,0.9967351166470957,TCGA
p276-00,0.25953518675710063,0.29073654986273856,0.9967351166470957,TCGA
tacalcitol,0.5353837274721602,0.29152310324702013,0.9967351166470957,TCGA
