epoch,train_loss,test_loss,test_pearson
1,0.48047345876693726,0.05950692668557167,-0.1171724945306778
2,0.11810889095067978,0.05210781469941139,-0.0517159067094326
3,0.11233562231063843,0.07340215146541595,0.02968011237680912
4,0.11158134788274765,0.04673289507627487,0.04117561876773834
5,0.0845826119184494,0.044376302510499954,0.07475419342517853
6,0.08456576615571976,0.050687141716480255,0.11774006485939026
7,0.07262863963842392,0.0659322664141655,0.12888029217720032
8,0.07407021522521973,0.052951399236917496,0.12748409807682037
9,0.06763440370559692,0.042593568563461304,0.12889795005321503
10,0.06984705477952957,0.04731874167919159,0.15367425978183746
11,0.06436555832624435,0.06189979985356331,0.17183902859687805
12,0.06370031833648682,0.060248322784900665,0.17657725512981415
13,0.06214424967765808,0.04720586910843849,0.18327490985393524
14,0.05972185358405113,0.04370247945189476,0.19290322065353394
15,0.060554228723049164,0.05063767358660698,0.20504716038703918
16,0.0571446493268013,0.061473727226257324,0.21489685773849487
17,0.05813218653202057,0.05883193388581276,0.22383202612400055
18,0.05676667019724846,0.04792223125696182,0.2328283041715622
19,0.05590808764100075,0.04407905414700508,0.23915943503379822
20,0.05607149377465248,0.049543533474206924,0.24661587178707123
21,0.05408511310815811,0.05731458589434624,0.2524302899837494
22,0.055077970027923584,0.05463722348213196,0.25797608494758606
23,0.05445488542318344,0.04628295451402664,0.2617540955543518
24,0.0537608377635479,0.043568216264247894,0.26501137018203735
25,0.0541912280023098,0.0483199805021286,0.26883479952812195
26,0.053505733609199524,0.05371878296136856,0.27116474509239197
27,0.053133781999349594,0.0505218505859375,0.2741743326187134
28,0.05284489318728447,0.04442905634641647,0.277130663394928
29,0.05251038447022438,0.04359563812613487,0.27981626987457275
30,0.052350420504808426,0.04709744080901146,0.2830509543418884
31,0.052250880748033524,0.0493457056581974,0.28536584973335266
32,0.051728371530771255,0.04633466899394989,0.28724560141563416
33,0.05137833207845688,0.042835451662540436,0.2883639335632324
34,0.0517868809401989,0.044650569558143616,0.2900269031524658
35,0.051023226231336594,0.04701519384980202,0.2919723093509674
36,0.05103806033730507,0.0447356253862381,0.29288628697395325
37,0.050878848880529404,0.04240646958351135,0.29392877221107483
38,0.05087036266922951,0.04361746832728386,0.2973288893699646
39,0.05020016059279442,0.04568732902407646,0.3008486330509186
40,0.04999438300728798,0.043834295123815536,0.30332398414611816
41,0.04988137632608414,0.04153522849082947,0.30585843324661255
42,0.04984163120388985,0.042783401906490326,0.30869701504707336
43,0.04945698007941246,0.044237710535526276,0.31186947226524353
44,0.04920298606157303,0.04246492683887482,0.3157298266887665
45,0.04871601238846779,0.040510691702365875,0.32005152106285095
46,0.04891955107450485,0.04195269197225571,0.325072705745697
47,0.04899485409259796,0.04295787587761879,0.33066171407699585
48,0.0485859178006649,0.040738169103860855,0.33621764183044434
49,0.04800004884600639,0.03936642035841942,0.34204813838005066
50,0.048377517610788345,0.04063587263226509,0.34821733832359314
51,0.047847989946603775,0.04073666036128998,0.3546428978443146
52,0.04757092148065567,0.038651831448078156,0.36298614740371704
53,0.046997539699077606,0.03926936164498329,0.37030041217803955
54,0.047069251537323,0.03894602507352829,0.379701167345047
55,0.046918779611587524,0.03857365623116493,0.3903197646141052
56,0.04642088711261749,0.037465937435626984,0.40231311321258545
57,0.04555816575884819,0.03662325441837311,0.41670939326286316
58,0.045415252447128296,0.03694957122206688,0.4310446083545685
59,0.04471577703952789,0.036721888929605484,0.44356295466423035
60,0.044326409697532654,0.03396344184875488,0.4585871994495392
61,0.0446033775806427,0.03623008355498314,0.4685329794883728
62,0.04391361400485039,0.032399509102106094,0.48536840081214905
63,0.04375213384628296,0.040837302803993225,0.4846092760562897
64,0.045465003699064255,0.03178519755601883,0.5031715035438538
65,0.047357458621263504,0.04279182106256485,0.5013566613197327
66,0.04609396681189537,0.0333327017724514,0.5149697661399841
67,0.041842661798000336,0.030772436410188675,0.5258749127388
68,0.0462782047688961,0.03842254355549812,0.5286591649055481
69,0.04348785802721977,0.037234943360090256,0.5377956032752991
70,0.04234757646918297,0.02938518486917019,0.5522388815879822
71,0.04270893335342407,0.029403364285826683,0.5611662864685059
72,0.040284112095832825,0.038197651505470276,0.5640926361083984
73,0.043093059211969376,0.029398422688245773,0.5808640718460083
74,0.03914137929677963,0.02807602658867836,0.5877196788787842
75,0.04207243770360947,0.03280257433652878,0.5948328375816345
76,0.039454810321331024,0.031458351761102676,0.6021854281425476
77,0.038809772580862045,0.02648247964680195,0.6114669442176819
78,0.03918619826436043,0.02687680721282959,0.6190982460975647
79,0.037463970482349396,0.03200633451342583,0.6227512359619141
80,0.038448430597782135,0.025834912434220314,0.6346198320388794
81,0.0364622138440609,0.02490486577153206,0.6410770416259766
82,0.03626265376806259,0.02776201441884041,0.6476227641105652
83,0.03670012205839157,0.02560826949775219,0.6557707786560059
84,0.03547082096338272,0.023630622774362564,0.661147952079773
85,0.035699263215065,0.024927295744419098,0.6680237650871277
86,0.03442106768488884,0.025768421590328217,0.672853946685791
87,0.034633662551641464,0.02269427478313446,0.6785439848899841
88,0.03446478769183159,0.02318091131746769,0.6837044954299927
89,0.03362036496400833,0.02559109590947628,0.6860342621803284
90,0.034447405487298965,0.022316766902804375,0.6908016204833984
91,0.033241160213947296,0.02230018749833107,0.6950875520706177
92,0.03314850106835365,0.024257313460111618,0.6986945867538452
93,0.033618733286857605,0.021527359262108803,0.7031107544898987
94,0.033442746847867966,0.022109469398856163,0.7076588273048401
95,0.03262454643845558,0.022195294499397278,0.7117883563041687
96,0.03224930912256241,0.0206096600741148,0.714629054069519
97,0.03247402608394623,0.023153534159064293,0.7170186638832092
98,0.03283814340829849,0.02048690989613533,0.7199798226356506
99,0.03163357824087143,0.020915526896715164,0.722389280796051
100,0.03179994970560074,0.022293733432888985,0.722927987575531
101,0.03172093257308006,0.020005300641059875,0.7245904803276062
102,0.03235965967178345,0.021668104454874992,0.7261970639228821
103,0.03119572624564171,0.02044220268726349,0.7282668352127075
104,0.030709655955433846,0.020345132797956467,0.7291536927223206
105,0.030858047306537628,0.021295957267284393,0.7318059802055359
106,0.03092821314930916,0.02005147561430931,0.7322927117347717
107,0.03051656112074852,0.019829247146844864,0.7316287755966187
108,0.030600164085626602,0.021725673228502274,0.7302034497261047
109,0.031237991526722908,0.0194403063505888,0.7342517375946045
110,0.030676888301968575,0.021228671073913574,0.7365407943725586
111,0.030315179377794266,0.020962098613381386,0.7384021878242493
112,0.030287830159068108,0.019066564738750458,0.7385362982749939
113,0.030931735411286354,0.022555774077773094,0.7312403321266174
114,0.03158143162727356,0.01911887712776661,0.7392770648002625
115,0.030747924000024796,0.021261954680085182,0.7404575943946838
116,0.03012416511774063,0.021219495683908463,0.7410591840744019
117,0.03039494901895523,0.019030794501304626,0.7411429286003113
118,0.03061099350452423,0.021692903712391853,0.7337298393249512
119,0.030776163563132286,0.01892275922000408,0.7414949536323547
120,0.030210092663764954,0.02052920125424862,0.7435553669929504
