element,type,count,description
node,gene,20389,gene nodes
node,tf,1185,tf nodes
node,drug,1448,drug nodes
node,cell_line,476,cell_line nodes
edge,tf_regulates_gene,42990,"tf -> gene (regulates), directed edge count"
edge,gene_interacts_gene,169174,"gene -> gene (interacts), directed edge count"
edge,drug_targets_gene,3442,"drug -> gene (targets), directed edge count"
edge,cell_line_responds_to_drug,614325,"cell_line -> drug (responds_to), directed edge count"
edge_targets,tf_regulates_gene_targets,6675,distinct gene nodes with at least one TF -> gene edge
